#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FD11187	0.000 	 0.000 	 0.000
FD11187	0.125 	 0.000 	 90.000
FD11187	0.250 	 0.000 	 90.000
FD11187	0.375 	 0.000 	 90.000
FD11187	0.500 	 0.000 	 90.000
FD11187	0.625 	 0.000 	 90.000
FD11187	0.750 	 0.000 	 90.000
FD11187	0.875 	 0.000 	 90.000
FD11187	1.000 	 0.000 	 90.000
FD11187	1.125 	 0.000 	 90.000
FD11187	1.250 	 0.000 	 90.000
FD11187	1.375 	 0.000 	 90.000
FD11187	1.500 	 0.000 	 90.000
FD11187	1.625 	 0.000 	 90.000
FD11187	1.750 	 0.000 	 90.000
FD11187	1.875 	 0.000 	 90.000
FD11187	2.000 	 0.000 	 90.000
FD11187	2.125 	 0.000 	 90.000
FD11187	2.250 	 0.000 	 90.000
FD11187	2.375 	 0.000 	 90.000
FD11187	2.500 	 0.000 	 90.000
FD11187	2.625 	 0.000 	 90.000
FD11187	2.750 	 0.000 	 90.000
FD11187	2.875 	 0.000 	 90.000
FD11187	3.000 	 0.000 	 90.000
FD11187	3.125 	 0.000 	 90.000
FD11187	3.250 	 0.000 	 90.000
FD11187	3.375 	 0.000 	 90.000
FD11187	3.500 	 0.000 	 90.000
FD11187	3.625 	 0.000 	 90.000
FD11187	3.750 	 0.000 	 90.000
FD11187	3.875 	 0.000 	 90.000
FD11187	4.000 	 0.000 	 90.000
FD11187	4.125 	 0.000 	 90.000
FD11187	4.250 	 0.000 	 90.000
FD11187	4.375 	 0.000 	 90.000
FD11187	4.500 	 0.000 	 90.000
FD11187	4.625 	 0.000 	 90.000
FD11187	4.750 	 0.000 	 90.000
FD11187	4.875 	 0.000 	 90.000
FD11187	5.000 	 0.000 	 90.000
FD11187	5.125 	 0.000 	 90.000
FD11187	5.250 	 0.000 	 90.000
FD11187	5.375 	 0.000 	 90.000
FD11187	5.500 	 0.000 	 90.000
FD11187	5.625 	 0.000 	 90.000
FD11187	5.750 	 0.000 	 90.000
FD11187	5.875 	 0.000 	 90.000
FD11187	6.000 	 0.000 	 90.000
FD11187	6.125 	 0.000 	 90.000
FD11187	6.250 	 0.000 	 90.000
FD11187	6.375 	 0.000 	 90.000
FD11187	6.500 	 0.000 	 90.000
FD11187	6.625 	 0.000 	 90.000
FD11187	6.750 	 0.000 	 90.000
FD11187	6.875 	 0.000 	 90.000
FD11187	7.000 	 0.000 	 90.000
FD11187	7.125 	 0.000 	 90.000
FD11187	7.250 	 0.000 	 90.000
FD11187	7.375 	 0.000 	 90.000
FD11187	7.500 	 0.000 	 90.000
FD11187	7.625 	 0.000 	 90.000
FD11187	7.750 	 0.000 	 90.000
FD11187	7.875 	 0.000 	 90.000
FD11187	8.000 	 0.000 	 90.000
FD11187	8.125 	 0.000 	 90.000
FD11187	8.250 	 0.000 	 90.000
FD11187	8.375 	 0.000 	 90.000
FD11187	8.500 	 0.000 	 90.000
FD11187	8.625 	 0.000 	 90.000
FD11187	8.750 	 0.000 	 90.000
FD11187	8.875 	 0.000 	 90.000
FD11187	9.000 	 0.000 	 90.000
FD11187	9.125 	 0.000 	 90.000
FD11187	9.250 	 0.000 	 90.000
FD11187	9.375 	 0.000 	 90.000
FD11187	9.500 	 0.000 	 90.000
FD11187	9.625 	 0.000 	 90.000
FD11187	9.750 	 0.000 	 90.000
FD11187	9.875 	 0.000 	 90.000
FD11187	10.000 	 0.000 	 90.000
FD11187	10.125 	 0.000 	 90.000
FD11187	10.250 	 0.000 	 90.000
FD11187	10.375 	 0.000 	 90.000
FD11187	10.500 	 0.000 	 90.000
FD11187	10.625 	 0.000 	 90.000
FD11187	10.750 	 0.000 	 90.000
FD11187	10.875 	 0.000 	 90.000
FD11187	11.000 	 0.000 	 90.000
FD11187	11.125 	 0.000 	 90.000
FD11187	11.250 	 0.000 	 90.000
FD11187	11.375 	 0.000 	 90.000
FD11187	11.500 	 0.000 	 90.000
FD11187	11.625 	 0.000 	 90.000
FD11187	11.750 	 0.000 	 90.000
FD11187	11.875 	 0.000 	 90.000
FD11187	12.000 	 0.000 	 90.000
FD11187	12.125 	 0.000 	 90.000
FD11187	12.250 	 0.000 	 90.000
FD11187	12.375 	 0.000 	 90.000
FD11187	12.500 	 0.000 	 90.000
FD11187	12.625 	 0.000 	 90.000
FD11187	12.750 	 0.000 	 90.000
FD11187	12.875 	 0.000 	 90.000
FD11187	13.000 	 0.000 	 90.000
FD11187	13.125 	 0.000 	 90.000
FD11187	13.250 	 0.000 	 90.000
FD11187	13.375 	 0.000 	 90.000
FD11187	13.500 	 0.000 	 90.000
FD11187	13.625 	 0.000 	 90.000
FD11187	13.750 	 0.000 	 90.000
FD11187	13.875 	 0.000 	 90.000
FD11187	14.000 	 0.000 	 90.000
FD11187	14.125 	 0.000 	 90.000
FD11187	14.250 	 0.000 	 90.000
FD11187	14.375 	 0.000 	 90.000
FD11187	14.500 	 0.000 	 90.000
FD11187	14.625 	 0.000 	 90.000
FD11187	14.750 	 0.000 	 90.000
FD11187	14.875 	 0.000 	 90.000
FD11187	15.000 	 0.000 	 90.000
FD11187	15.125 	 0.000 	 90.000
FD11187	15.250 	 0.000 	 90.000
FD11187	15.375 	 0.000 	 90.000
FD11187	15.500 	 0.000 	 90.000
FD11187	15.625 	 0.000 	 90.000
FD11187	15.750 	 0.000 	 90.000
FD11187	15.875 	 0.000 	 90.000
FD11187	16.000 	 0.000 	 90.000
FD11187	16.125 	 0.000 	 90.000
FD11187	16.250 	 0.000 	 90.000
FD11187	16.375 	 0.000 	 90.000
FD11187	16.500 	 0.000 	 90.000
FD11187	16.625 	 0.000 	 90.000
FD11187	16.750 	 0.000 	 90.000
FD11187	16.875 	 0.000 	 90.000
FD11187	17.000 	 0.000 	 90.000
FD11187	17.125 	 0.000 	 90.000
FD11187	17.250 	 0.000 	 90.000
FD11187	17.375 	 0.000 	 90.000
FD11187	17.500 	 0.000 	 90.000
FD11187	17.625 	 0.000 	 90.000
FD11187	17.750 	 0.000 	 90.000
FD11187	17.875 	 0.000 	 90.000
FD11187	18.000 	 0.000 	 90.000
FD11187	18.125 	 0.000 	 90.000
FD11187	18.250 	 0.000 	 90.000
FD11187	18.375 	 0.000 	 90.000
FD11187	18.500 	 0.000 	 90.000
FD11187	18.625 	 0.000 	 90.000
FD11187	18.750 	 0.000 	 90.000
FD11187	18.875 	 0.000 	 90.000
FD11187	19.000 	 0.000 	 90.000
FD11187	19.125 	 0.000 	 90.000
FD11187	19.250 	 0.000 	 90.000
FD11187	19.375 	 0.000 	 90.000
FD11187	19.500 	 0.000 	 90.000
FD11187	19.625 	 0.000 	 90.000
FD11187	19.750 	 0.000 	 90.000
FD11187	19.875 	 0.000 	 90.000
FD11187	20.000 	 0.000 	 90.000
FD11187	20.125 	 0.000 	 90.000
FD11187	20.250 	 0.000 	 90.000
FD11187	20.375 	 0.000 	 90.000
FD11187	20.500 	 0.000 	 90.000
FD11187	20.625 	 0.000 	 90.000
FD11187	20.750 	 0.000 	 90.000
FD11187	20.875 	 0.000 	 90.000
FD11187	21.000 	 0.000 	 90.000
FD11187	21.125 	 0.000 	 90.000
FD11187	21.250 	 0.000 	 90.000
FD11187	21.375 	 0.000 	 90.000
FD11187	21.500 	 0.000 	 90.000
FD11187	21.625 	 0.000 	 90.000
FD11187	21.750 	 0.000 	 90.000
FD11187	21.875 	 0.000 	 90.000
FD11187	22.000 	 0.000 	 90.000
