#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW12163	0.000 	 0.000 	 0.000
FHW12163	0.125 	 0.458 	 0.000
FHW12163	0.250 	 0.000 	 90.000
FHW12163	0.375 	 0.458 	 0.000
FHW12163	0.500 	 0.458 	 90.000
FHW12163	0.625 	 0.458 	 0.000
FHW12163	0.750 	 0.458 	 0.000
FHW12163	0.875 	 0.000 	 90.000
FHW12163	1.000 	 0.458 	 0.000
FHW12163	1.125 	 0.458 	 0.000
FHW12163	1.250 	 0.458 	 90.000
FHW12163	1.375 	 0.458 	 0.000
FHW12163	1.500 	 0.000 	 90.000
FHW12163	1.625 	 0.458 	 0.000
FHW12163	1.750 	 0.458 	 0.000
FHW12163	1.875 	 0.000 	 90.000
FHW12163	2.000 	 0.458 	 0.000
FHW12163	2.125 	 0.648 	 45.000
FHW12163	2.250 	 0.000 	 90.000
FHW12163	2.375 	 0.458 	 0.000
FHW12163	2.500 	 0.000 	 90.000
FHW12163	2.625 	 0.458 	 0.000
FHW12163	2.750 	 0.458 	 0.000
FHW12163	2.875 	 0.000 	 90.000
FHW12163	3.000 	 0.648 	 45.000
FHW12163	3.125 	 0.000 	 90.000
FHW12163	3.250 	 0.458 	 0.000
FHW12163	3.375 	 0.458 	 0.000
FHW12163	3.500 	 0.000 	 90.000
FHW12163	3.625 	 0.458 	 0.000
FHW12163	3.750 	 0.648 	 45.000
FHW12163	3.875 	 0.000 	 90.000
FHW12163	4.000 	 0.458 	 0.000
FHW12163	4.125 	 0.000 	 90.000
FHW12163	4.250 	 0.458 	 0.000
FHW12163	4.375 	 0.458 	 0.000
FHW12163	4.500 	 0.000 	 90.000
FHW12163	4.625 	 0.648 	 45.000
FHW12163	4.750 	 0.458 	 0.000
FHW12163	4.875 	 0.000 	 90.000
FHW12163	5.000 	 0.458 	 0.000
FHW12163	5.125 	 0.000 	 90.000
FHW12163	5.250 	 0.458 	 0.000
FHW12163	5.375 	 0.648 	 45.000
FHW12163	5.500 	 0.000 	 90.000
FHW12163	5.625 	 0.458 	 0.000
FHW12163	5.750 	 0.000 	 90.000
FHW12163	5.875 	 0.458 	 0.000
FHW12163	6.000 	 0.458 	 0.000
FHW12163	6.125 	 0.000 	 90.000
FHW12163	6.250 	 0.648 	 45.000
FHW12163	6.375 	 0.458 	 0.000
