#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW143P	0.000 	 0.000 	 0.000
FHW143P	0.125 	 0.000 	 90.000
FHW143P	0.250 	 0.000 	 90.000
FHW143P	0.375 	 0.000 	 90.000
FHW143P	0.500 	 0.000 	 90.000
FHW143P	0.625 	 0.000 	 90.000
FHW143P	0.750 	 0.000 	 90.000
FHW143P	0.875 	 0.000 	 90.000
FHW143P	1.000 	 0.000 	 90.000
FHW143P	1.125 	 0.000 	 90.000
FHW143P	1.250 	 0.000 	 90.000
FHW143P	1.375 	 0.000 	 90.000
FHW143P	1.500 	 0.000 	 90.000
FHW143P	1.625 	 0.000 	 90.000
FHW143P	1.750 	 0.000 	 90.000
FHW143P	1.875 	 0.000 	 90.000
FHW143P	2.000 	 0.000 	 90.000
FHW143P	2.125 	 0.000 	 90.000
FHW143P	2.250 	 0.000 	 90.000
FHW143P	2.375 	 0.000 	 90.000
FHW143P	2.500 	 0.000 	 90.000
FHW143P	2.625 	 0.000 	 90.000
FHW143P	2.750 	 0.000 	 90.000
FHW143P	2.875 	 0.000 	 90.000
FHW143P	3.000 	 0.000 	 90.000
FHW143P	3.125 	 0.000 	 90.000
FHW143P	3.250 	 0.000 	 90.000
FHW143P	3.375 	 0.000 	 90.000
FHW143P	3.500 	 0.000 	 90.000
FHW143P	3.625 	 0.000 	 90.000
FHW143P	3.750 	 0.000 	 90.000
FHW143P	3.875 	 0.000 	 90.000
FHW143P	4.000 	 0.000 	 90.000
FHW143P	4.125 	 0.000 	 90.000
FHW143P	4.250 	 0.000 	 90.000
FHW143P	4.375 	 0.000 	 90.000
FHW143P	4.500 	 0.000 	 90.000
FHW143P	4.625 	 0.000 	 90.000
FHW143P	4.750 	 0.000 	 90.000
FHW143P	4.875 	 0.000 	 90.000
FHW143P	5.000 	 0.000 	 90.000
FHW143P	5.125 	 0.000 	 90.000
FHW143P	5.250 	 0.000 	 90.000
FHW143P	5.375 	 0.000 	 90.000
FHW143P	5.500 	 0.000 	 90.000
FHW143P	5.625 	 0.000 	 90.000
FHW143P	5.750 	 0.000 	 90.000
FHW143P	5.875 	 0.000 	 90.000
FHW143P	6.000 	 0.000 	 90.000
FHW143P	6.125 	 0.000 	 90.000
FHW143P	6.250 	 0.000 	 90.000
FHW143P	6.375 	 0.000 	 90.000
FHW143P	6.500 	 0.000 	 90.000
FHW143P	6.625 	 0.000 	 90.000
FHW143P	6.750 	 0.000 	 90.000
FHW143P	6.875 	 0.000 	 90.000
FHW143P	7.000 	 0.000 	 90.000
FHW143P	7.125 	 0.000 	 90.000
FHW143P	7.250 	 0.000 	 90.000
FHW143P	7.375 	 0.000 	 90.000
FHW143P	7.500 	 0.000 	 90.000
FHW143P	7.625 	 0.000 	 90.000
FHW143P	7.750 	 0.000 	 90.000
FHW143P	7.875 	 0.000 	 90.000
FHW143P	8.000 	 0.000 	 90.000
FHW143P	8.125 	 0.000 	 90.000
FHW143P	8.250 	 0.000 	 90.000
FHW143P	8.375 	 0.000 	 90.000
FHW143P	8.500 	 0.000 	 90.000
FHW143P	8.625 	 0.000 	 90.000
FHW143P	8.750 	 0.000 	 90.000
FHW143P	8.875 	 0.000 	 90.000
FHW143P	9.000 	 0.000 	 90.000
FHW143P	9.125 	 0.000 	 90.000
FHW143P	9.250 	 0.000 	 90.000
FHW143P	9.375 	 0.000 	 90.000
FHW143P	9.500 	 0.000 	 90.000
FHW143P	9.625 	 0.000 	 90.000
FHW143P	9.750 	 0.000 	 90.000
FHW143P	9.875 	 0.000 	 90.000
FHW143P	10.000 	 0.000 	 90.000
FHW143P	10.125 	 0.000 	 90.000
FHW143P	10.250 	 0.000 	 90.000
FHW143P	10.375 	 0.000 	 90.000
FHW143P	10.500 	 0.000 	 90.000
FHW143P	10.625 	 0.000 	 90.000
FHW143P	10.750 	 0.000 	 90.000
FHW143P	10.875 	 0.000 	 90.000
FHW143P	11.000 	 0.000 	 90.000
FHW143P	11.125 	 0.000 	 90.000
FHW143P	11.250 	 0.000 	 90.000
FHW143P	11.375 	 0.000 	 90.000
FHW143P	11.500 	 0.000 	 90.000
FHW143P	11.625 	 0.000 	 90.000
FHW143P	11.750 	 0.000 	 90.000
FHW143P	11.875 	 0.000 	 90.000
FHW143P	12.000 	 0.000 	 90.000
FHW143P	12.125 	 0.000 	 90.000
FHW143P	12.250 	 0.000 	 90.000
FHW143P	12.375 	 0.000 	 90.000
FHW143P	12.500 	 0.000 	 90.000
FHW143P	12.625 	 0.000 	 90.000
FHW143P	12.750 	 0.000 	 90.000
FHW143P	12.875 	 0.000 	 90.000
FHW143P	13.000 	 0.000 	 90.000
FHW143P	13.125 	 0.000 	 90.000
FHW143P	13.250 	 0.000 	 90.000
FHW143P	13.375 	 0.000 	 90.000
FHW143P	13.500 	 0.000 	 90.000
FHW143P	13.625 	 0.000 	 90.000
FHW143P	13.750 	 0.000 	 90.000
FHW143P	13.875 	 0.000 	 90.000
FHW143P	14.000 	 0.000 	 90.000
FHW143P	14.125 	 0.000 	 90.000
FHW143P	14.250 	 0.000 	 90.000
FHW143P	14.375 	 0.000 	 90.000
FHW143P	14.500 	 0.000 	 90.000
FHW143P	14.625 	 0.000 	 90.000
FHW143P	14.750 	 0.000 	 90.000
FHW143P	14.875 	 0.000 	 90.000
FHW143P	15.000 	 0.000 	 90.000
FHW143P	15.125 	 0.000 	 90.000
FHW143P	15.250 	 0.000 	 90.000
FHW143P	15.375 	 0.000 	 90.000
FHW143P	15.500 	 0.000 	 90.000
FHW143P	15.625 	 0.000 	 90.000
FHW143P	15.750 	 0.000 	 90.000
FHW143P	15.875 	 0.000 	 90.000
FHW143P	16.000 	 0.000 	 90.000
FHW143P	16.125 	 0.000 	 90.000
FHW143P	16.250 	 0.000 	 90.000
FHW143P	16.375 	 0.000 	 90.000
FHW143P	16.500 	 0.000 	 90.000
FHW143P	16.625 	 0.000 	 90.000
FHW143P	16.750 	 0.000 	 90.000
FHW143P	16.875 	 0.000 	 90.000
FHW143P	17.000 	 0.000 	 90.000
FHW143P	17.125 	 0.000 	 90.000
FHW143P	17.250 	 0.000 	 90.000
FHW143P	17.375 	 0.000 	 90.000
FHW143P	17.500 	 0.000 	 90.000
FHW143P	17.625 	 0.000 	 90.000
FHW143P	17.750 	 0.000 	 90.000
FHW143P	17.875 	 0.000 	 90.000
FHW143P	18.000 	 0.000 	 90.000
FHW143P	18.125 	 0.000 	 90.000
FHW143P	18.250 	 0.000 	 90.000
FHW143P	18.375 	 0.000 	 90.000
FHW143P	18.500 	 0.000 	 90.000
FHW143P	18.625 	 0.000 	 90.000
FHW143P	18.750 	 0.000 	 90.000
FHW143P	18.875 	 0.000 	 90.000
FHW143P	19.000 	 0.000 	 90.000
FHW143P	19.125 	 0.000 	 90.000
FHW143P	19.250 	 0.000 	 90.000
FHW143P	19.375 	 0.000 	 90.000
FHW143P	19.500 	 0.000 	 90.000
FHW143P	19.625 	 0.000 	 90.000
FHW143P	19.750 	 0.000 	 90.000
FHW143P	19.875 	 0.000 	 90.000
FHW143P	20.000 	 0.000 	 90.000
FHW143P	20.125 	 0.000 	 90.000
FHW143P	20.250 	 0.000 	 90.000
FHW143P	20.375 	 0.000 	 90.000
FHW143P	20.500 	 0.000 	 90.000
FHW143P	20.625 	 0.000 	 90.000
FHW143P	20.750 	 0.000 	 90.000
FHW143P	20.875 	 0.000 	 90.000
FHW143P	21.000 	 0.000 	 90.000
FHW143P	21.125 	 0.000 	 90.000
FHW143P	21.250 	 0.000 	 90.000
FHW143P	21.375 	 0.000 	 90.000
FHW143P	21.500 	 0.000 	 90.000
FHW143P	21.625 	 0.000 	 90.000
FHW143P	21.750 	 0.000 	 90.000
FHW143P	21.875 	 0.000 	 90.000
FHW143P	22.000 	 0.000 	 90.000
FHW143P	22.125 	 0.000 	 90.000
FHW143P	22.250 	 0.000 	 90.000
FHW143P	22.375 	 0.000 	 90.000
FHW143P	22.500 	 0.000 	 90.000
FHW143P	22.625 	 0.000 	 90.000
FHW143P	22.750 	 0.000 	 90.000
FHW143P	22.875 	 0.000 	 90.000
FHW143P	23.000 	 0.000 	 90.000
FHW143P	23.125 	 0.000 	 90.000
FHW143P	23.250 	 0.000 	 90.000
FHW143P	23.375 	 0.000 	 90.000
FHW143P	23.500 	 0.000 	 90.000
FHW143P	23.625 	 0.000 	 90.000
FHW143P	23.750 	 0.000 	 90.000
FHW143P	23.875 	 0.000 	 90.000
FHW143P	24.000 	 0.000 	 90.000
FHW143P	24.125 	 0.000 	 90.000
FHW143P	24.250 	 0.000 	 90.000
FHW143P	24.375 	 0.000 	 90.000
FHW143P	24.500 	 0.000 	 90.000
FHW143P	24.625 	 0.000 	 90.000
FHW143P	24.750 	 0.000 	 90.000
FHW143P	24.875 	 0.000 	 90.000
FHW143P	25.000 	 0.000 	 90.000
FHW143P	25.125 	 0.000 	 90.000
FHW143P	25.250 	 0.000 	 90.000
FHW143P	25.375 	 0.000 	 90.000
FHW143P	25.500 	 0.000 	 90.000
FHW143P	25.625 	 0.000 	 90.000
FHW143P	25.750 	 0.000 	 90.000
FHW143P	25.875 	 0.000 	 90.000
FHW143P	26.000 	 0.000 	 90.000
FHW143P	26.125 	 0.000 	 90.000
FHW143P	26.250 	 0.000 	 90.000
FHW143P	26.375 	 0.000 	 90.000
FHW143P	26.500 	 0.000 	 90.000
FHW143P	26.625 	 0.000 	 90.000
FHW143P	26.750 	 0.000 	 90.000
FHW143P	26.875 	 0.000 	 90.000
FHW143P	27.000 	 0.000 	 90.000
FHW143P	27.125 	 0.000 	 90.000
FHW143P	27.250 	 0.000 	 90.000
FHW143P	27.375 	 0.000 	 90.000
FHW143P	27.500 	 0.000 	 90.000
FHW143P	27.625 	 0.000 	 90.000
FHW143P	27.750 	 0.000 	 90.000
FHW143P	27.875 	 0.000 	 90.000
FHW143P	28.000 	 0.000 	 90.000
FHW143P	28.125 	 0.000 	 90.000
FHW143P	28.250 	 0.000 	 90.000
FHW143P	28.375 	 0.000 	 90.000
FHW143P	28.500 	 0.000 	 90.000
FHW143P	28.625 	 0.000 	 90.000
FHW143P	28.750 	 0.000 	 90.000
FHW143P	28.875 	 0.000 	 90.000
FHW143P	29.000 	 0.000 	 90.000
FHW143P	29.125 	 0.000 	 90.000
FHW143P	29.250 	 0.000 	 90.000
FHW143P	29.375 	 0.000 	 90.000
FHW143P	29.500 	 0.000 	 90.000
FHW143P	29.625 	 0.000 	 90.000
FHW143P	29.750 	 0.000 	 90.000
