#WellName	 Depth.M	 INCL	 AZIM 
WellName	 Depth.M	 INCL	 AZIM 
FHW147I	0.000 	 0.000 	 0.000
FHW147I	0.125 	 0.247 	 14.425
FHW147I	0.250 	 0.247 	 14.425
FHW147I	0.375 	 0.247 	 14.425
FHW147I	0.500 	 0.247 	 14.425
FHW147I	0.625 	 0.247 	 14.425
FHW147I	0.750 	 0.247 	 14.425
FHW147I	0.875 	 0.247 	 14.425
FHW147I	1.000 	 0.247 	 14.425
FHW147I	1.125 	 0.247 	 14.425
FHW147I	1.250 	 0.247 	 14.425
FHW147I	1.375 	 0.247 	 14.425
FHW147I	1.500 	 0.247 	 14.425
FHW147I	1.625 	 0.247 	 14.425
FHW147I	1.750 	 0.247 	 14.425
FHW147I	1.875 	 0.247 	 14.425
FHW147I	2.000 	 0.247 	 14.425
FHW147I	2.125 	 0.247 	 14.425
FHW147I	2.250 	 0.247 	 14.425
FHW147I	2.375 	 0.247 	 14.425
FHW147I	2.500 	 0.247 	 14.425
FHW147I	2.625 	 0.247 	 14.425
FHW147I	2.750 	 0.247 	 14.425
FHW147I	2.875 	 0.247 	 14.425
FHW147I	3.000 	 0.247 	 14.425
FHW147I	3.125 	 0.247 	 14.425
FHW147I	3.250 	 0.247 	 14.425
FHW147I	3.375 	 0.247 	 14.425
FHW147I	3.500 	 0.247 	 14.425
FHW147I	3.625 	 0.247 	 14.425
FHW147I	3.750 	 0.247 	 14.425
FHW147I	3.875 	 0.247 	 14.425
FHW147I	4.000 	 0.247 	 14.425
FHW147I	4.125 	 0.247 	 14.425
FHW147I	4.250 	 0.247 	 14.425
FHW147I	4.375 	 0.247 	 14.425
FHW147I	4.500 	 0.247 	 14.425
FHW147I	4.625 	 0.247 	 14.425
FHW147I	4.750 	 0.247 	 14.425
FHW147I	4.875 	 0.247 	 14.425
FHW147I	5.000 	 0.247 	 14.425
FHW147I	5.125 	 0.247 	 14.425
FHW147I	5.250 	 0.247 	 14.425
FHW147I	5.375 	 0.247 	 14.425
FHW147I	5.500 	 0.247 	 14.425
FHW147I	5.625 	 0.247 	 14.425
FHW147I	5.750 	 0.247 	 14.425
FHW147I	5.875 	 0.247 	 14.425
FHW147I	6.000 	 0.247 	 14.425
FHW147I	6.125 	 0.247 	 14.425
FHW147I	6.250 	 0.247 	 14.425
FHW147I	6.375 	 0.247 	 14.425
FHW147I	6.500 	 0.247 	 14.425
FHW147I	6.625 	 0.247 	 14.425
FHW147I	6.750 	 0.247 	 14.425
FHW147I	6.875 	 0.247 	 14.425
FHW147I	7.000 	 0.247 	 14.425
FHW147I	7.125 	 0.247 	 14.425
FHW147I	7.250 	 0.247 	 14.425
FHW147I	7.375 	 0.247 	 14.425
FHW147I	7.500 	 0.247 	 14.425
FHW147I	7.625 	 0.247 	 14.425
FHW147I	7.750 	 0.247 	 14.425
