#Depth	GR	RT	RI	RXO	DEN	SP
50.000	36.795	0.206	0.200	0.200	2.402	59.254
50.125	37.127	0.206	0.200	0.200	2.402	59.254
50.250	33.936	0.206	0.200	0.200	2.391	59.254
50.375	31.859	0.206	0.200	0.200	2.382	59.254
50.500	31.809	0.206	0.200	0.200	2.382	59.254
50.625	32.673	0.206	0.200	0.201	2.389	59.254
50.750	33.006	0.206	0.200	0.206	2.392	59.254
50.875	33.421	0.206	0.200	0.233	2.382	59.254
51.000	34.302	0.206	0.200	0.268	2.363	59.254
51.125	35.699	0.206	0.200	0.309	2.344	59.254
51.250	36.296	0.206	0.200	0.342	2.333	59.254
51.375	35.099	0.206	0.200	0.352	2.337	59.254
51.500	33.104	0.206	0.200	0.346	2.349	59.254
51.625	30.778	0.206	0.200	0.352	2.368	59.254
51.750	31.910	0.206	0.200	0.362	2.381	59.254
51.875	33.106	0.206	0.200	0.362	2.380	59.254
52.000	34.170	0.206	0.200	0.350	2.370	59.254
52.125	35.565	0.206	0.200	0.337	2.359	59.254
52.250	35.897	0.206	0.200	0.347	2.355	59.254
52.375	35.897	0.206	0.200	0.363	2.364	59.254
52.500	37.228	0.206	0.200	0.353	2.373	59.254
52.625	37.692	0.206	0.200	0.305	2.376	59.254
52.750	37.493	0.206	0.200	0.244	2.375	59.254
52.875	37.226	0.206	0.200	0.204	2.374	59.254
53.000	35.900	0.206	0.200	0.200	2.374	59.254
53.125	38.226	0.206	0.200	0.200	2.368	59.254
53.250	39.888	0.206	0.200	0.200	2.361	59.254
53.375	41.883	0.206	0.200	0.200	2.353	59.254
53.500	43.543	0.283	0.200	0.200	2.343	59.254
53.625	44.107	0.451	0.200	0.200	2.330	59.254
53.750	44.272	0.523	0.200	0.200	2.315	59.254
53.875	43.275	0.259	0.200	0.200	2.320	59.254
54.000	41.745	0.206	0.200	0.215	2.341	59.254
54.125	41.282	0.206	0.200	0.265	2.359	60.090
54.250	40.014	0.206	0.200	0.347	2.366	61.637
54.375	37.429	0.206	0.200	0.437	2.359	63.473
54.500	39.084	0.206	0.200	0.485	2.343	65.534
54.625	36.425	0.206	0.200	0.507	2.334	67.764
54.750	37.496	0.206	0.200	0.620	2.336	70.050
54.875	38.341	0.386	0.200	0.809	2.349	72.337
55.000	39.191	0.571	0.200	1.000	2.375	74.585
55.125	41.119	0.548	0.200	1.125	2.415	76.759
55.250	42.776	0.378	0.200	1.171	2.461	78.837
55.375	41.779	0.234	0.200	1.152	2.499	80.774
55.500	41.848	0.206	0.200	1.146	2.533	82.596
55.625	42.780	0.206	0.200	1.152	2.567	84.305
55.750	42.874	0.206	0.200	1.154	2.596	85.900
55.875	41.616	0.206	0.200	1.146	2.613	87.381
56.000	42.275	0.206	0.200	1.160	2.614	88.741
56.125	40.031	0.206	0.200	1.192	2.598	89.922
56.250	42.786	0.206	0.200	1.193	2.574	90.919
56.375	43.573	0.206	0.200	1.189	2.553	91.691
56.500	42.397	0.206	0.200	1.200	2.542	92.190
56.625	40.768	0.206	0.200	1.228	2.542	92.366
56.750	36.453	0.206	0.200	1.242	2.551	92.168
56.875	35.123	0.206	0.200	1.235	2.564	91.426
57.000	37.154	0.206	0.200	1.199	2.570	90.200
57.125	38.641	0.206	0.200	1.102	2.570	89.200
57.250	39.925	0.206	0.200	0.968	2.573	89.214
57.375	41.444	0.206	0.200	0.835	2.589	90.349
57.500	39.784	0.206	0.200	0.713	2.625	91.300
57.625	38.787	0.206	0.200	0.646	2.649	91.952
57.750	38.856	0.206	0.200	0.702	2.641	92.298
57.875	39.189	0.206	0.200	0.805	2.605	92.287
58.000	39.956	0.206	0.200	0.863	2.564	91.871
58.125	40.359	0.206	0.200	0.807	2.536	91.007
58.250	36.797	0.206	0.200	0.639	2.520	89.659
58.375	37.461	0.206	0.200	0.459	2.479	87.676
58.500	40.528	0.206	0.265	0.852	2.415	85.174
58.625	44.334	0.270	0.515	2.778	2.345	82.162
58.750	46.934	0.516	1.023	4.984	2.285	78.652
58.875	47.532	1.087	1.836	5.802	2.243	74.660
59.000	47.872	2.124	3.010	4.885	2.221	70.202
59.125	50.863	4.190	4.728	5.029	2.224	65.198
59.250	52.521	5.633	6.182	7.328	2.245	59.787
59.375	52.247	6.522	7.409	9.013	2.269	54.012
59.500	49.711	7.336	8.713	8.825	2.279	47.929
59.625	46.808	8.477	10.258	7.332	2.269	41.612
59.750	49.454	9.796	11.673	7.227	2.242	35.156
59.875	47.875	10.508	12.215	7.302	2.202	28.728
60.000	49.700	10.697	12.238	7.043	2.161	22.512
60.125	45.742	11.007	12.592	6.919	2.130	16.648
60.250	40.381	11.802	13.547	7.403	2.124	11.265
60.375	39.181	13.207	14.990	9.971	2.158	6.469
60.500	37.216	15.152	16.614	17.975	2.244	2.339
60.625	43.864	16.551	17.405	18.435	2.352	-0.916
60.750	46.172	16.311	16.834	13.474	2.411	-3.498
60.875	47.569	15.048	15.408	10.112	2.404	-5.477
61.000	48.059	13.705	13.848	8.774	2.345	-6.934
61.125	47.163	13.053	12.825	7.567	2.270	-7.960
61.250	46.667	13.203	12.701	6.300	2.227	-8.650
61.375	46.833	13.122	12.409	8.820	2.258	-9.059
61.500	51.674	12.154	11.442	10.355	2.315	-9.328
