#Depth	DEN	GR	RT	RI	RXO	SP
53.000	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	89.270
53.125	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	89.265
53.250	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	89.250
53.375	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	89.273
53.500	1.931	-9999.000	-9999.000	-9999.000	-9999.000	89.366
53.625	1.931	-9999.000	-9999.000	-9999.000	-9999.000	89.497
53.750	1.932	-9999.000	-9999.000	-9999.000	-9999.000	89.638
53.875	1.931	45.380	1.424	0.385	0.758	89.781
54.000	1.929	45.380	1.424	0.385	0.758	89.932
54.125	1.928	46.331	1.415	0.386	0.797	90.097
54.250	1.930	45.932	1.389	0.388	0.835	90.244
54.375	1.932	44.102	1.356	0.391	0.842	90.271
54.500	1.935	43.397	1.329	0.390	0.836	90.077
54.625	1.939	45.001	1.313	0.387	0.836	89.679
54.750	1.942	46.226	1.307	0.381	0.842	89.134
54.875	1.947	44.066	1.308	0.375	0.859	88.482
55.000	1.951	40.052	1.311	0.369	0.881	87.726
55.125	1.953	36.995	1.307	0.364	0.903	86.916
55.250	1.953	36.179	1.286	0.361	0.914	86.109
55.375	1.953	37.121	1.243	0.361	0.910	85.386
55.500	1.954	37.714	1.185	0.364	0.899	84.856
55.625	1.955	36.937	1.130	0.367	0.884	84.540
55.750	1.953	37.130	1.097	0.370	0.883	84.395
55.875	1.948	39.287	1.097	0.370	0.894	84.376
56.000	1.941	40.883	1.123	0.368	0.910	84.431
56.125	1.937	40.360	1.150	0.365	0.917	84.475
56.250	1.940	39.144	1.151	0.364	0.909	84.481
56.375	1.954	40.035	1.115	0.363	0.885	84.402
56.500	1.976	43.887	1.044	0.362	0.855	84.192
56.625	2.001	47.687	0.963	0.360	0.843	83.860
56.750	2.020	48.563	0.896	0.356	0.848	83.456
56.875	2.031	47.153	0.856	0.351	0.857	83.005
57.000	2.029	45.960	0.847	0.348	0.853	82.475
57.125	2.019	44.466	0.856	0.347	0.837	81.867
57.250	2.007	42.243	0.869	0.352	0.820	81.141
57.375	2.002	40.356	0.878	0.364	0.811	80.265
57.500	2.011	39.937	0.865	0.385	0.803	79.185
57.625	2.035	40.049	0.815	0.409	0.786	77.864
57.750	2.078	40.636	0.711	0.423	0.747	76.216
57.875	2.147	42.463	0.536	0.415	0.685	74.091
58.000	2.249	46.916	0.305	0.379	0.454	71.212
58.125	2.376	50.634	0.098	0.333	0.289	67.418
58.250	2.496	50.800	-0.024	0.301	0.227	62.564
58.375	2.572	49.918	-0.030	0.318	0.210	56.602
58.500	2.575	53.153	0.139	0.446	0.236	49.503
58.625	2.528	58.242	0.550	0.761	1.425	41.684
58.750	2.456	59.913	1.294	1.353	3.659	33.550
58.875	2.376	57.866	2.364	2.270	6.122	25.494
59.000	2.306	56.538	3.589	3.459	8.896	18.033
59.125	2.254	57.303	4.585	4.636	10.376	11.523
59.250	2.227	60.035	4.912	5.442	8.966	6.243
59.375	2.224	65.500	4.536	5.668	6.942	2.320
59.500	2.242	73.185	3.972	5.424	5.764	-0.155
59.625	2.262	79.330	3.561	5.044	5.038	-1.633
59.750	2.268	81.451	3.326	4.704	4.525	-2.484
59.875	2.257	81.222	3.208	4.449	4.232	-2.978
60.000	2.236	80.647	3.163	4.291	4.142	-3.329
60.125	2.218	79.519	3.163	4.210	4.112	-3.684
60.250	2.214	77.541	3.219	4.214	4.095	-4.115
60.375	2.226	76.910	3.379	4.343	4.140	-4.661
60.500	2.255	79.265	3.745	4.694	4.329	-5.359
60.625	2.293	81.687	4.359	5.293	4.751	-6.207
60.750	2.328	80.196	5.190	6.112	5.543	-7.192
60.875	2.346	74.087	6.115	7.034	6.926	-8.289
61.000	2.331	67.878	6.872	7.820	9.079	-9.463
61.125	2.292	64.052	7.246	8.262	10.921	-10.679
61.250	2.250	60.956	7.166	8.273	10.413	-11.909
61.375	2.228	57.132	6.758	7.931	8.762	-13.105
61.500	2.234	56.051	6.273	7.432	8.040	-14.181
61.625	2.253	57.505	5.880	6.965	8.346	-15.056
61.750	2.267	58.856	5.583	6.576	9.163	-15.652
