#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
54.000	-9999.000	47.606	0.061	0.212	0.061	-9999.000	-9999.000	-9999.000	-9999.000
54.125	-9999.000	47.603	0.061	0.212	0.061	-9999.000	-9999.000	-9999.000	-9999.000
54.250	-9999.000	47.601	0.061	0.212	0.061	-9999.000	-9999.000	-9999.000	-9999.000
54.375	-9999.000	46.747	0.058	0.219	0.058	-9999.000	-9999.000	-9999.000	-9999.000
54.500	-9999.000	45.453	0.059	0.227	0.059	-9999.000	-9999.000	-9999.000	-9999.000
54.625	-9999.000	44.584	0.067	0.224	0.067	-9999.000	-9999.000	-9999.000	-9999.000
54.750	-9999.000	44.066	0.055	0.213	0.055	-9999.000	-9999.000	-9999.000	-9999.000
54.875	-9999.000	43.767	0.025	0.200	0.025	-9999.000	-9999.000	-9999.000	-9999.000
55.000	-9999.000	43.582	0.025	0.189	0.025	-9999.000	-9999.000	-9999.000	-9999.000
55.125	1.996	43.511	0.003	0.187	0.003	-9999.000	-9999.000	-9999.000	-9999.000
55.250	1.996	43.491	-0.003	0.195	-0.003	-9999.000	-9999.000	-9999.000	-9999.000
55.375	1.998	43.509	0.015	0.209	0.015	44.345	0.865	1.426	0.577
55.500	1.999	43.529	0.031	0.217	0.031	44.345	0.865	1.426	0.577
55.625	2.001	43.621	0.039	0.214	0.039	44.562	0.749	1.424	0.562
55.750	2.007	43.713	0.043	0.204	0.043	44.578	0.697	1.420	0.570
55.875	2.015	43.815	0.048	0.194	0.048	43.497	0.698	1.417	0.577
56.000	2.020	43.971	0.068	0.190	0.068	41.173	0.718	1.417	0.543
56.125	2.024	44.147	0.094	0.195	0.094	39.401	0.732	1.417	0.504
56.250	2.032	44.326	0.102	0.201	0.102	40.188	0.746	1.412	0.474
56.375	2.049	44.482	0.098	0.204	0.098	40.534	0.765	1.391	0.474
56.500	2.071	44.541	0.085	0.206	0.085	37.441	0.771	1.335	0.499
56.625	2.084	44.292	0.059	0.214	0.059	33.802	0.699	1.195	0.524
56.750	2.083	43.703	0.048	0.226	0.048	34.029	0.543	0.961	0.539
56.875	2.078	42.719	0.050	0.237	0.050	37.024	0.351	0.675	0.513
57.000	2.108	41.241	0.045	0.239	0.045	38.995	0.190	0.409	0.432
57.125	2.248	38.986	0.039	0.231	0.039	38.453	0.096	0.227	0.391
57.250	2.395	35.923	0.048	0.224	0.048	38.996	0.051	0.119	0.341
57.375	2.384	32.013	0.056	0.243	0.056	41.560	0.038	0.068	0.278
57.500	2.228	27.364	0.061	0.345	0.061	43.671	0.047	0.062	0.370
57.625	2.028	22.067	0.095	0.671	0.095	44.333	0.097	0.121	1.005
57.750	1.849	16.479	0.132	1.299	0.132	47.336	0.225	0.286	2.462
57.875	1.723	10.823	0.153	2.249	0.153	53.434	0.515	0.646	3.544
58.000	1.689	5.284	0.171	3.436	0.171	59.619	1.086	1.336	4.812
58.125	1.781	0.142	0.192	4.689	0.192	62.143	2.128	2.561	6.900
58.250	1.923	-4.429	0.206	5.821	0.206	62.457	3.491	4.168	10.094
58.375	2.030	-8.327	0.213	6.743	0.213	62.861	4.875	5.854	12.301
58.500	2.069	-11.578	0.221	7.435	0.221	64.698	6.006	7.308	12.667
58.625	2.076	-14.101	0.218	7.873	0.218	67.093	6.792	8.354	12.092
58.750	2.096	-16.084	0.208	8.111	0.208	67.807	7.366	9.093	12.066
58.875	2.137	-17.660	0.204	8.170	0.204	67.739	7.756	9.551	12.603
59.000	2.179	-18.931	0.196	8.086	0.196	69.162	7.947	9.718	13.136
59.125	2.200	-19.829	0.189	7.888	0.189	69.908	7.885	9.540	12.526
59.250	2.196	-20.437	0.193	7.629	0.193	68.163	7.630	9.109	11.448
59.375	2.179	-20.752	0.224	7.345	0.224	65.632	7.262	8.525	10.312
59.500	2.164	-20.729	0.317	7.058	0.317	64.911	6.870	7.910	9.471
59.625	2.169	-20.362	0.585	6.766	0.585	68.941	6.512	7.359	9.046
59.750	2.199	-19.889	1.072	6.466	1.072	77.927	6.198	6.895	7.987
59.875	2.245	-19.420	1.693	6.186	1.693	88.595	5.955	6.535	6.611
60.000	2.289	-18.981	2.397	6.000	2.397	94.588	5.832	6.317	6.016
60.125	2.303	-18.692	3.266	6.032	3.266	93.482	5.906	6.313	5.677
60.250	2.281	-18.629	4.295	6.270	4.295	91.185	6.179	6.523	5.555
60.375	2.238	-18.799	5.425	6.634	5.425	87.467	6.655	6.947	6.474
60.500	2.204	-19.186	6.544	6.982	6.544	81.152	7.306	7.554	8.456
60.625	2.216	-19.775	7.636	7.179	7.636	77.719	8.055	8.264	10.101
60.750	2.263	-20.433	8.651	7.244	8.651	79.177	8.743	8.928	11.119
60.875	2.306	-21.147	9.457	7.249	9.457	79.391	9.221	9.416	12.028
61.000	2.305	-21.876	10.003	7.276	10.003	74.480	9.374	9.626	13.600
61.125	2.256	-22.478	10.232	7.375	10.232	70.019	9.182	9.523	15.139
61.250	2.192	-22.848	10.247	7.514	10.247	68.397	8.914	9.323	13.713
61.375	2.146	-22.930	10.227	7.617	10.227	66.540	8.779	9.198	12.423
61.500	2.146	-22.789	10.439	7.584	10.439	63.749	8.861	9.228	11.662
61.625	2.211	-22.438	10.657	7.304	10.657	60.843	9.092	9.371	11.765
61.750	2.306	-21.936	10.469	6.836	10.469	58.446	9.243	9.453	13.795
61.875	2.381	-21.321	10.052	6.271	10.052	60.435	9.108	9.290	16.825
62.000	2.407	-20.675	9.713	5.728	9.713	70.183	8.595	8.771	16.063
62.125	2.401	-20.049	9.631	5.321	9.631	81.497	7.794	7.931	9.059
62.250	2.395	-19.539	9.568	5.047	9.568	86.828	6.951	7.010	6.855
62.375	2.392	-19.262	9.193	4.879	9.193	87.953	6.177	6.145	6.146
62.500	2.376	-19.263	8.519	4.791	8.519	87.994	5.536	5.417	5.515
62.625	2.339	-19.577	7.702	4.761	7.702	86.597	5.150	4.934	4.873
62.750	2.302	-20.150	7.263	4.758	7.263	85.193	5.078	4.722	4.508
62.875	2.297	-20.924	7.343	4.795	7.343	85.151	5.384	4.831	4.265
