#Depth	SP	GR	RI	RT	RXO	DEN
60.000	164.751	39.820	0.188	0.340	0.037	2.361
60.125	162.038	39.886	0.178	0.335	0.037	2.373
60.250	157.877	39.259	0.165	0.342	0.039	2.402
60.375	151.777	38.817	0.151	0.351	0.041	2.456
60.500	144.392	38.441	0.141	0.370	0.041	2.516
60.625	137.571	38.153	0.141	0.379	0.039	2.545
60.750	132.227	36.979	0.142	0.378	0.036	2.518
60.875	128.126	35.495	0.143	0.354	0.033	2.458
61.000	124.754	34.775	0.143	0.325	0.031	2.400
61.125	122.152	35.855	0.142	0.314	0.033	2.361
61.250	120.814	37.616	0.142	0.331	0.034	2.346
61.375	121.402	38.995	0.142	0.356	0.031	2.344
61.500	122.806	38.200	0.143	0.366	0.024	2.352
61.625	124.843	37.226	0.143	0.370	0.017	2.360
61.750	127.574	37.346	0.143	0.365	0.016	2.365
61.875	130.389	38.838	0.143	0.354	0.021	2.371
62.000	132.861	38.590	0.142	0.344	0.027	2.375
62.125	134.715	37.842	0.142	0.338	0.031	2.375
62.250	135.883	37.080	0.151	0.334	0.034	2.376
62.375	136.729	37.897	0.165	0.337	0.037	2.380
62.500	137.679	39.300	0.177	0.333	0.036	2.396
62.625	139.095	40.001	0.186	0.330	0.033	2.406
62.750	141.475	39.760	0.177	0.316	0.040	2.401
62.875	144.817	38.669	0.168	0.301	0.158	2.386
63.000	148.898	38.358	0.163	0.296	0.521	2.383
63.125	152.736	38.569	0.169	0.310	0.948	2.387
63.250	153.995	38.912	0.189	0.341	1.094	2.393
63.375	151.035	38.213	0.212	0.373	0.972	2.397
63.500	145.061	37.213	0.229	0.394	0.870	2.398
63.625	139.896	36.190	0.232	0.391	0.919	2.395
63.750	137.107	36.508	0.221	0.369	0.934	2.394
63.875	135.776	37.201	0.200	0.339	0.751	2.391
64.000	134.815	38.469	0.179	0.312	0.434	2.378
64.125	133.899	39.357	0.166	0.301	0.176	2.342
64.250	132.446	40.296	0.147	0.300	0.109	2.307
64.375	129.985	41.310	0.126	0.279	0.151	2.284
64.500	125.984	42.554	0.098	0.229	0.254	2.278
64.625	120.418	44.662	0.071	0.158	0.620	2.272
64.750	113.227	46.443	0.056	0.093	1.636	2.246
64.875	104.625	47.774	0.059	0.060	3.746	2.197
65.000	94.737	47.954	0.094	0.074	7.043	2.125
65.125	84.178	48.268	0.194	0.138	9.841	2.023
65.250	73.425	49.804	0.477	0.353	10.128	1.884
65.375	62.999	53.625	1.158	0.953	8.513	1.769
65.500	53.897	58.494	2.393	2.072	7.229	1.773
65.625	46.390	62.980	4.104	3.603	8.337	1.893
65.750	40.313	64.253	5.774	4.985	11.369	2.040
65.875	34.992	64.604	7.011	5.779	13.120	2.129
66.000	29.991	66.386	7.517	5.786	11.772	2.151
66.125	25.829	70.554	7.491	5.389	9.101	2.149
66.250	22.960	75.801	7.330	4.995	7.730	2.146
66.375	21.167	78.681	7.222	4.829	7.635	2.142
66.500	20.160	78.707	7.315	4.920	7.736	2.137
66.625	19.641	76.841	7.544	5.120	7.796	2.126
66.750	18.913	74.609	7.817	5.308	7.725	2.115
66.875	18.123	72.465	8.024	5.476	7.494	2.098
67.000	17.539	69.821	8.215	5.752	7.173	2.093
67.125	17.139	68.561	8.705	6.563	7.060	2.107
67.250	16.925	67.660	9.737	7.946	9.698	2.155
67.375	16.864	67.514	10.616	9.133	19.066	2.233
67.500	16.830	66.523	10.903	9.592	31.927	2.301
67.625	16.880	67.629	10.161	8.909	36.071	2.319
67.750	16.731	71.837	8.617	7.476	26.114	2.288
67.875	16.620	79.582	7.016	6.052	12.719	2.261
68.000	16.269	88.175	5.729	4.984	6.227	2.262
68.125	15.567	93.893	4.978	4.433	5.038	2.283
68.250	14.591	96.591	4.668	4.259	4.928	2.293
68.375	13.492	98.607	4.687	4.327	4.898	2.295
