#Depth	TVD	DX	DY	DEN	GR	RT	RI	RXO	SP
20.000	19.999	-0.120	-0.108	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	217.977
20.125	20.124	-0.120	-0.109	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	215.572
20.250	20.249	-0.121	-0.109	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	211.652
20.375	20.374	-0.122	-0.110	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	206.178
20.500	20.499	-0.123	-0.111	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	199.412
20.625	20.624	-0.123	-0.111	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	191.261
20.750	20.749	-0.124	-0.112	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	182.245
20.875	20.874	-0.125	-0.113	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	173.022
21.000	20.999	-0.126	-0.114	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	163.947
21.125	21.124	-0.126	-0.114	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	155.245
21.250	21.249	-0.127	-0.115	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	147.229
21.375	21.374	-0.128	-0.116	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	139.961
21.500	21.499	-0.129	-0.116	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	132.932
21.625	21.624	-0.129	-0.117	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	125.762
21.750	21.749	-0.130	-0.118	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	118.360
21.875	21.874	-0.131	-0.118	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	110.425
22.000	21.999	-0.132	-0.119	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	101.860
22.125	22.124	-0.132	-0.120	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	92.755
22.250	22.249	-0.133	-0.120	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	83.099
22.375	22.374	-0.134	-0.121	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	73.133
22.500	22.499	-0.135	-0.122	1.988	12.705	662.458	1.703	0.210	63.398
22.625	22.624	-0.135	-0.122	1.988	12.705	662.458	1.703	0.210	54.176
22.750	22.749	-0.136	-0.123	1.983	50.232	2575.660	6.585	0.897	45.463
22.875	22.874	-0.137	-0.124	1.970	47.010	2424.130	6.273	1.026	37.519
23.000	22.999	-0.138	-0.124	1.957	42.563	2340.251	6.166	1.149	30.575
23.125	23.124	-0.138	-0.125	1.938	41.133	2315.752	6.097	1.150	24.746
23.250	23.249	-0.139	-0.126	1.917	42.965	2317.625	6.031	1.023	19.961
23.375	23.374	-0.140	-0.126	1.902	45.533	2329.571	5.968	0.921	16.163
23.500	23.499	-0.141	-0.127	1.897	46.237	2344.853	5.926	0.901	13.227
23.625	23.624	-0.141	-0.128	1.899	45.580	2367.585	5.935	0.903	11.497
23.750	23.749	-0.142	-0.128	1.901	46.154	2399.252	5.991	0.893	10.650
23.875	23.874	-0.143	-0.129	1.902	47.772	2424.462	6.082	0.943	10.364
24.000	23.999	-0.144	-0.130	1.899	47.148	2405.998	6.187	1.001	10.515
24.125	24.124	-0.144	-0.130	1.892	43.476	2294.429	6.305	1.036	11.132
24.250	24.249	-0.145	-0.131	1.885	39.938	2119.693	6.442	1.109	12.113
24.375	24.374	-0.146	-0.132	1.888	37.650	1937.804	6.558	1.245	13.307
24.500	24.499	-0.147	-0.132	1.913	36.117	1770.653	6.561	1.258	14.537
24.625	24.624	-0.147	-0.133	1.971	35.086	1527.964	6.258	1.187	15.647
24.750	24.749	-0.148	-0.134	2.060	35.149	1152.150	5.497	1.187	16.669
24.875	24.874	-0.149	-0.134	2.183	35.538	716.245	4.220	1.020	17.701
25.000	24.999	-0.150	-0.135	2.346	35.594	362.952	2.727	0.768	18.829
25.125	25.124	-0.150	-0.136	2.533	35.005	188.474	1.569	0.829	19.963
25.250	25.249	-0.151	-0.136	2.682	33.963	115.521	0.862	1.073	20.733
25.375	25.374	-0.152	-0.137	2.723	32.164	87.159	0.509	1.166	20.703
25.500	25.499	-0.153	-0.138	2.607	30.276	78.584	0.413	1.897	19.441
25.625	25.624	-0.153	-0.139	2.337	32.171	81.397	0.576	3.326	16.291
25.750	25.749	-0.154	-0.139	2.037	38.509	88.370	1.000	4.786	11.672
25.875	25.874	-0.155	-0.140	1.815	46.887	96.082	1.745	5.167	6.251
26.000	25.999	-0.156	-0.141	1.730	54.621	102.400	2.826	5.417	0.563
26.125	26.124	-0.156	-0.141	1.785	59.293	106.096	4.072	6.103	-5.109
26.250	26.249	-0.157	-0.142	1.885	61.258	107.702	5.105	7.216	-10.563
26.375	26.374	-0.158	-0.143	1.973	61.966	107.791	5.783	7.806	-15.457
26.500	26.499	-0.159	-0.143	2.022	62.719	107.120	6.205	7.760	-19.354
26.625	26.624	-0.159	-0.144	2.039	64.908	106.491	6.505	7.537	-21.533
26.750	26.749	-0.160	-0.145	2.052	68.189	106.296	6.739	7.441	-22.412
26.875	26.874	-0.161	-0.145	2.069	70.335	106.452	6.896	7.585	-22.725
27.000	26.999	-0.162	-0.146	2.087	68.400	106.649	6.990	7.759	-23.063
27.125	27.124	-0.162	-0.147	2.098	64.220	106.562	7.032	7.901	-23.602
27.250	27.249	-0.163	-0.147	2.102	62.212	106.242	7.041	7.954	-24.213
27.375	27.374	-0.164	-0.148	2.101	62.848	105.893	7.020	7.897	-24.834
27.500	27.499	-0.165	-0.149	2.100	65.164	105.744	6.975	7.661	-25.377
27.625	27.624	-0.165	-0.149	2.103	67.948	106.061	6.910	7.464	-25.818
27.750	27.749	-0.166	-0.150	2.112	68.300	106.852	6.841	7.521	-26.167
27.875	27.874	-0.167	-0.151	2.123	66.192	107.999	6.783	7.666	-26.398
28.000	27.999	-0.168	-0.151	2.134	64.592	109.175	6.745	7.606	-26.509
28.125	28.124	-0.168	-0.152	2.140	64.978	109.746	6.728	7.414	-26.477
28.250	28.249	-0.169	-0.153	2.138	64.486	109.360	6.720	7.376	-26.363
28.375	28.374	-0.170	-0.153	2.129	63.347	108.033	6.722	7.367	-26.201
28.500	28.499	-0.171	-0.154	2.121	62.725	106.258	6.749	7.267	-26.110
28.625	28.624	-0.171	-0.155	2.123	62.900	104.996	6.831	7.204	-26.165
28.750	28.749	-0.172	-0.155	2.130	61.926	104.836	6.971	7.298	-26.203
28.875	28.874	-0.173	-0.156	2.126	60.205	105.693	7.153	7.480	-26.165
29.000	28.999	-0.174	-0.157	2.097	59.917	106.730	7.327	7.605	-26.096
29.125	29.124	-0.174	-0.157	2.040	62.332	106.132	7.378	7.525	-26.046
29.250	29.249	-0.175	-0.158	1.984	65.275	102.774	7.225	7.375	-25.921
29.375	29.374	-0.176	-0.159	1.959	70.230	96.464	6.845	7.165	-25.562
29.500	29.499	-0.176	-0.159	1.984	80.450	88.189	6.291	6.577	-24.893
29.625	29.624	-0.177	-0.160	2.061	95.252	80.038	5.682	5.764	-23.942
29.750	29.749	-0.178	-0.161	2.156	104.456	73.981	5.160	5.055	-22.818
29.875	29.874	-0.179	-0.161	2.244	105.363	70.954	4.794	4.664	-21.613
30.000	29.999	-0.179	-0.162	2.307	102.928	70.949	4.604	4.485	-20.401
30.125	30.123	-0.187	-0.167	2.331	102.793	73.220	4.584	4.451	-19.223
30.250	30.248	-0.195	-0.172	2.325	103.272	75.759	4.645	4.527	-18.123
30.375	30.373	-0.203	-0.176	2.304	102.695	77.132	4.713	4.622	-17.263
