#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
13.000	13.000	-0.011	0.053	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.125	13.125	-0.011	0.054	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.250	13.250	-0.011	0.054	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.375	13.375	-0.011	0.055	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.500	13.500	-0.012	0.055	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.625	13.625	-0.012	0.056	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.750	13.750	-0.012	0.056	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.999
13.875	13.875	-0.012	0.057	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.894
14.000	14.000	-0.012	0.057	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	388.393
14.125	14.125	-0.012	0.058	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	387.241
14.250	14.250	-0.012	0.058	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	385.444
14.375	14.375	-0.012	0.059	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	382.987
14.500	14.500	-0.012	0.059	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	379.823
14.625	14.625	-0.012	0.060	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	375.673
14.750	14.750	-0.013	0.060	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	370.366
14.875	14.875	-0.013	0.061	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	363.854
15.000	15.000	-0.013	0.061	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	356.392
15.125	15.125	-0.013	0.062	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	348.117
15.250	15.250	-0.013	0.062	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	339.165
15.375	15.375	-0.013	0.063	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	329.548
15.500	15.500	-0.013	0.063	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	319.390
15.625	15.625	-0.013	0.064	-9999.000	-9999.000	-9999.000	-9999.000	-9999.000	308.867
15.750	15.750	-0.013	0.064	-9999.000	-9999.000	-9999.000	-9999.000	0.000	298.226
15.875	15.875	-0.014	0.065	-9999.000	-9999.000	-9999.000	-9999.000	0.000	287.486
16.000	16.000	-0.014	0.065	-9999.000	-9999.000	-9999.000	-9999.000	0.000	276.622
16.125	16.125	-0.014	0.066	-9999.000	-9999.000	-9999.000	-9999.000	0.000	265.304
16.250	16.250	-0.014	0.066	-9999.000	-9999.000	-9999.000	-9999.000	0.000	253.912
16.375	16.375	-0.014	0.067	-9999.000	-9999.000	-9999.000	-9999.000	1.363	242.987
16.500	16.500	-0.014	0.067	-9999.000	-9999.000	-9999.000	-9999.000	1.813	232.572
16.625	16.625	-0.014	0.068	-9999.000	-9999.000	-9999.000	-9999.000	1.807	222.594
16.750	16.750	-0.014	0.068	-9999.000	-9999.000	-9999.000	-9999.000	1.803	213.091
16.875	16.875	-0.014	0.069	-9999.000	-9999.000	-9999.000	-9999.000	1.802	204.352
17.000	17.000	-0.015	0.069	-9999.000	-9999.000	-9999.000	-9999.000	1.806	196.475
17.125	17.125	-0.015	0.070	-9999.000	-9999.000	-9999.000	-9999.000	1.813	189.820
17.250	17.250	-0.015	0.070	-9999.000	-9999.000	-9999.000	-9999.000	1.823	184.025
17.375	17.375	-0.015	0.071	42.684	270.433	6.904	4.218	1.834	178.455
17.500	17.500	-0.015	0.071	42.684	270.433	6.904	4.218	1.848	172.921
17.625	17.625	-0.015	0.072	45.334	263.808	6.806	2.539	1.864	167.432
17.750	17.750	-0.015	0.072	49.618	253.946	6.654	1.441	1.880	162.022
17.875	17.875	-0.015	0.073	51.868	244.517	6.512	1.113	1.896	156.566
18.000	18.000	-0.015	0.073	51.282	239.343	6.439	1.128	1.910	151.062
18.125	18.125	-0.015	0.074	50.202	241.945	6.438	1.253	1.922	145.668
18.250	18.250	-0.016	0.075	50.732	250.151	6.430	1.475	1.934	140.252
18.375	18.375	-0.016	0.075	51.855	255.851	6.321	1.834	1.945	134.895
18.500	18.500	-0.016	0.076	52.004	243.537	5.965	2.014	1.955	129.678
18.625	18.625	-0.016	0.076	51.828	197.560	5.046	1.679	1.977	124.570
18.750	18.750	-0.016	0.077	52.214	134.785	3.689	1.155	2.031	119.435
18.875	18.875	-0.016	0.077	51.810	77.901	2.319	0.905	2.136	114.089
19.000	19.000	-0.016	0.078	50.902	41.087	1.301	0.862	2.289	108.453
19.125	19.125	-0.016	0.078	52.796	26.096	0.789	0.979	2.444	102.065
19.250	19.250	-0.016	0.079	56.374	22.806	0.626	1.936	2.536	94.632
19.375	19.375	-0.017	0.079	61.178	27.838	0.745	3.688	2.535	85.841
19.500	19.500	-0.017	0.080	66.881	40.345	1.124	5.494	2.455	75.802
19.625	19.625	-0.017	0.080	72.788	60.144	1.832	6.187	2.348	65.048
19.750	19.750	-0.017	0.081	79.023	79.825	2.772	6.471	2.275	54.339
19.875	19.875	-0.017	0.081	86.996	90.181	3.664	6.232	2.247	44.071
20.000	20.000	-0.017	0.082	96.736	86.622	4.113	5.554	2.249	34.414
20.125	20.125	-0.017	0.082	101.716	74.765	4.027	5.095	2.259	25.840
20.250	20.250	-0.017	0.083	100.621	67.528	3.862	4.855	2.268	18.668
20.375	20.375	-0.017	0.083	98.353	70.131	3.891	4.715	2.289	13.204
