#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP	R2M	R025
11.000	10.998	0.073	-0.196	31.621	0.328	28.717	0.359	1.997	-9999.000	-9999.000	-9999.000
11.125	11.123	0.074	-0.198	30.166	0.280	3.877	0.358	1.997	-9999.000	-9999.000	-9999.000
11.250	11.248	0.075	-0.200	30.797	0.266	0.279	0.357	2.018	-9999.000	-9999.000	-9999.000
11.375	11.373	0.076	-0.203	32.826	0.264	0.256	0.352	2.039	-9999.000	-9999.000	-9999.000
11.500	11.498	0.077	-0.205	35.746	0.265	0.243	0.341	2.053	-9999.000	-9999.000	-9999.000
11.625	11.623	0.077	-0.207	39.582	0.269	0.243	0.333	2.057	-9999.000	-9999.000	-9999.000
11.750	11.747	0.078	-0.209	43.252	0.276	0.274	0.332	2.050	-9999.000	-9999.000	-9999.000
11.875	11.872	0.079	-0.212	44.540	0.284	0.315	0.331	2.038	-9999.000	-9999.000	-9999.000
12.000	11.997	0.080	-0.214	44.403	0.294	0.337	0.330	2.027	-9999.000	-9999.000	-9999.000
12.125	12.122	0.081	-0.216	44.104	0.302	0.340	0.328	2.020	-9999.000	-9999.000	-9999.000
12.250	12.247	0.082	-0.218	43.325	0.308	0.330	0.324	2.020	-9999.000	-9999.000	-9999.000
12.375	12.372	0.082	-0.220	42.197	0.311	0.321	0.317	2.024	-9999.000	-9999.000	-9999.000
12.500	12.497	0.083	-0.223	40.271	0.310	0.312	0.310	2.027	45.137	-9999.000	-9999.000
12.625	12.622	0.084	-0.225	37.940	0.300	0.289	0.304	2.025	45.137	0.298	0.218
12.750	12.747	0.085	-0.227	38.380	0.280	0.281	0.303	2.011	45.260	0.247	0.187
12.875	12.872	0.086	-0.229	42.749	0.283	0.276	0.303	1.990	45.462	0.208	0.157
13.000	12.997	0.087	-0.232	46.529	0.293	0.270	0.304	1.964	45.727	0.203	0.190
13.125	13.122	0.087	-0.234	46.088	0.322	0.267	0.306	1.938	46.011	0.238	0.246
13.250	13.247	0.088	-0.236	46.058	0.330	0.264	0.308	1.924	46.283	0.295	0.248
13.375	13.372	0.089	-0.238	48.413	0.326	0.265	0.311	1.931	46.589	0.331	0.220
13.500	13.497	0.090	-0.241	49.968	0.302	0.270	0.315	1.956	46.908	0.326	0.201
13.625	13.622	0.091	-0.243	49.477	0.286	0.294	0.315	1.980	47.142	0.294	0.173
13.750	13.747	0.092	-0.245	50.396	0.278	0.267	0.308	1.989	47.269	0.271	0.132
13.875	13.872	0.092	-0.247	52.857	0.277	0.256	0.290	1.993	47.283	0.269	0.135
14.000	13.997	0.093	-0.249	52.281	0.281	0.283	0.276	1.997	47.201	0.273	0.181
14.125	14.122	0.094	-0.252	48.703	0.305	0.326	0.262	1.998	47.058	0.270	0.212
14.250	14.247	0.095	-0.254	48.454	0.337	0.344	0.243	1.989	46.872	0.257	0.193
14.375	14.372	0.096	-0.256	51.832	0.341	0.352	0.237	1.981	46.625	0.244	0.184
14.500	14.497	0.097	-0.258	54.147	0.329	0.329	0.234	1.979	46.392	0.240	0.195
14.625	14.622	0.097	-0.261	52.413	0.290	0.309	0.236	1.989	46.247	0.256	0.206
14.750	14.747	0.098	-0.263	48.398	0.270	0.293	0.238	2.036	46.217	0.294	0.234
14.875	14.872	0.099	-0.265	44.147	0.244	0.269	0.241	2.138	46.309	0.332	0.241
15.000	14.997	0.100	-0.267	41.060	0.239	0.251	0.244	2.273	46.506	0.351	0.220
15.125	15.122	0.101	-0.269	42.704	0.239	0.244	0.242	2.341	46.804	0.347	0.217
15.250	15.247	0.102	-0.272	48.635	0.245	0.240	0.230	2.263	47.183	0.336	0.225
15.375	15.372	0.102	-0.274	52.926	0.242	0.233	0.224	2.138	47.641	0.346	0.224
15.500	15.497	0.103	-0.276	54.155	0.238	0.231	0.218	2.045	48.199	0.377	0.211
15.625	15.622	0.104	-0.278	53.308	0.237	0.236	0.215	2.009	48.807	0.405	0.185
15.750	15.747	0.105	-0.281	52.712	0.239	0.251	0.207	2.012	49.357	0.390	0.181
15.875	15.872	0.106	-0.283	52.329	0.257	0.247	0.206	2.023	49.748	0.324	0.209
16.000	15.997	0.107	-0.285	50.728	0.265	0.241	0.209	2.039	49.919	0.236	0.229
16.125	16.122	0.107	-0.287	46.646	0.260	0.232	0.215	2.064	49.797	0.170	0.229
16.250	16.247	0.108	-0.290	41.026	0.255	0.231	0.219	2.108	49.378	0.155	0.261
16.375	16.372	0.109	-0.292	37.086	0.250	0.237	0.219	2.166	48.760	0.182	0.305
16.500	16.496	0.110	-0.294	34.980	0.246	0.240	0.217	2.225	47.923	0.231	0.304
16.625	16.621	0.111	-0.296	33.659	0.244	0.240	0.215	2.269	46.899	0.276	0.256
16.750	16.746	0.112	-0.298	32.869	0.239	0.236	0.212	2.284	45.789	0.301	0.237
16.875	16.871	0.112	-0.301	32.618	0.235	0.231	0.208	2.280	44.709	0.320	0.266
17.000	16.996	0.113	-0.303	33.765	0.234	0.225	0.204	2.268	43.734	0.351	0.280
17.125	17.121	0.114	-0.305	35.466	0.233	0.222	0.203	2.255	42.866	0.385	0.253
17.250	17.246	0.115	-0.307	36.011	0.231	0.216	0.203	2.248	41.990	0.405	0.243
17.375	17.371	0.116	-0.310	34.851	0.221	0.208	0.203	2.249	41.002	0.407	0.261
17.500	17.496	0.117	-0.312	33.501	0.212	0.202	0.203	2.263	39.858	0.391	0.270
17.625	17.621	0.117	-0.314	33.225	0.209	0.200	0.203	2.290	38.540	0.365	0.265
17.750	17.746	0.118	-0.316	33.619	0.831	0.197	0.203	2.331	36.921	0.326	0.259
17.875	17.871	0.119	-0.318	34.389	1.169	0.197	0.203	2.380	34.918	0.284	0.255
18.000	17.996	0.120	-0.321	36.379	1.806	0.197	0.411	2.436	32.379	0.253	0.256
18.125	18.121	0.121	-0.323	40.511	2.323	0.197	1.138	2.498	29.233	0.249	0.245
18.250	18.246	0.122	-0.325	48.219	3.314	0.211	1.563	2.563	25.396	0.292	0.226
18.375	18.371	0.122	-0.327	59.409	4.778	0.610	2.781	2.598	21.083	0.401	0.220
18.500	18.496	0.123	-0.330	72.026	6.120	1.091	3.773	2.556	16.380	0.598	0.270
18.625	18.621	0.124	-0.332	82.989	7.376	1.454	4.450	2.442	11.370	0.872	0.587
18.750	18.746	0.125	-0.334	89.064	10.102	2.297	5.412	2.322	6.258	1.144	1.546
18.875	18.871	0.126	-0.336	89.255	11.616	3.435	5.559	2.247	1.287	1.313	2.916
19.000	18.996	0.127	-0.339	84.583	13.327	4.559	5.749	2.205	-3.359	1.330	4.240
19.125	19.121	0.127	-0.341	77.091	15.037	5.357	6.477	2.166	-7.532	1.211	5.243
19.250	19.246	0.128	-0.343	70.954	16.486	5.681	7.095	2.132	-10.943	1.028	5.951
19.375	19.371	0.129	-0.345	69.351	17.099	5.720	7.261	2.128	-13.644	0.870	6.479
19.500	19.496	0.130	-0.347	70.845	16.562	5.597	6.830	2.154	-15.635	0.758	6.808
19.625	19.621	0.131	-0.350	72.630	15.402	5.454	6.250	2.195	-17.003	0.682	6.982
19.750	19.746	0.132	-0.352	73.015	14.802	5.519	5.964	2.235	-17.959	0.639	7.077
19.875	19.871	0.132	-0.354	72.388	14.652	5.919	6.097	2.270	-18.751	0.611	7.182
20.000	19.996	0.133	-0.356	69.899	14.368	6.720	7.231	2.313	-19.469	0.582	7.400
20.125	20.121	0.134	-0.359	66.642	14.124	7.913	10.645	2.370	-20.127	0.544	7.860
20.250	20.246	0.135	-0.361	65.237	14.018	9.332	17.555	2.414	-20.773	0.500	8.618
20.375	20.371	0.136	-0.363	63.282	13.989	10.521	20.452	2.389	-21.481	0.468	9.524
20.500	20.496	0.137	-0.365	59.251	13.967	11.075	20.178	2.294	-22.308	0.498	10.438
20.625	20.621	0.137	-0.367	56.102	13.874	10.815	21.388	2.192	-23.263	0.700	11.114
20.750	20.746	0.138	-0.370	57.391	13.646	9.854	21.158	2.135	-24.259	1.300	11.138
20.875	20.871	0.139	-0.372	59.065	13.314	8.712	14.604	2.110	-25.230	2.288	10.576
21.000	20.996	0.140	-0.374	58.425	12.896	7.689	9.407	2.098	-26.111	3.489	9.691
21.125	21.120	0.141	-0.376	57.843	12.390	6.923	7.370	2.095	-26.826	4.586	8.798
21.250	21.245	0.142	-0.379	60.675	11.497	6.495	7.060	2.105	-27.361	5.205	8.120
21.375	21.370	0.142	-0.381	63.957	10.223	6.327	7.064	2.120	-27.838	5.362	7.606
21.500	21.495	0.143	-0.383	64.047	9.977	6.351	7.133	2.128	-28.261	5.226	7.217
21.625	21.620	0.144	-0.385	62.009	9.419	6.471	7.150	2.126	-28.582	5.015	6.954
21.750	21.745	0.145	-0.388	61.324	8.272	6.588	7.154	2.119	-28.773	4.902	6.828
21.875	21.870	0.146	-0.390	62.549	7.690	6.653	7.226	2.119	-28.853	4.908	6.778
22.000	21.995	0.147	-0.392	64.549	7.478	6.660	7.296	2.122	-28.897	5.011	6.740
22.125	22.120	0.147	-0.394	64.889	7.506	6.635	7.173	2.125	-28.972	5.195	6.686
22.250	22.245	0.148	-0.396	61.899	7.623	6.616	7.158	2.124	-29.132	5.480	6.624
22.375	22.370	0.149	-0.399	58.886	7.706	6.614	7.097	2.118	-29.331	5.874	6.550
22.500	22.495	0.150	-0.401	57.892	7.715	6.607	7.092	2.109	-29.531	6.386	6.470
22.625	22.620	0.151	-0.403	56.968	7.691	6.566	7.142	2.101	-29.709	6.993	6.393
22.750	22.745	0.152	-0.405	55.165	7.546	6.447	7.229	2.097	-29.884	7.615	6.295
22.875	22.870	0.152	-0.408	55.659	7.428	6.272	7.271	2.097	-30.053	8.143	6.157
23.000	22.995	0.153	-0.410	57.418	7.551	6.098	7.142	2.101	-30.186	8.519	6.046
23.125	23.120	0.154	-0.412	57.161	7.716	5.986	7.091	2.105	-30.288	8.729	5.998
23.250	23.245	0.155	-0.414	55.315	7.880	5.985	6.953	2.110	-30.303	8.752	5.973
23.375	23.370	0.156	-0.416	56.212	8.077	6.068	6.809	2.112	-30.211	8.644	5.970
23.500	23.495	0.157	-0.419	59.909	8.233	6.195	7.085	2.109	-30.119	8.466	5.997
23.625	23.620	0.157	-0.421	62.226	8.474	6.305	7.797	2.095	-30.103	8.301	6.032
23.750	23.745	0.158	-0.423	59.020	8.730	6.307	8.689	2.061	-30.086	8.247	6.061
23.875	23.870	0.159	-0.425	53.599	8.748	6.227	7.782	2.019	-30.033	8.281	6.085
24.000	23.995	0.160	-0.428	50.799	8.706	6.154	7.203	1.994	-29.979	8.307	6.143
24.125	24.120	0.161	-0.430	51.704	8.733	6.195	7.159	2.010	-29.980	8.228	6.249
24.250	24.245	0.162	-0.432	53.133	8.725	6.442	7.304	2.072	-30.032	8.010	6.352
24.375	24.370	0.162	-0.434	54.264	8.704	6.816	8.000	2.148	-30.065	7.777	6.452
24.500	24.495	0.163	-0.437	56.636	8.669	7.169	9.354	2.209	-30.011	7.681	6.611
24.625	24.620	0.164	-0.439	60.383	8.620	7.331	10.347	2.237	-29.857	7.835	6.808
24.750	24.745	0.165	-0.441	63.732	8.571	7.186	8.879	2.218	-29.692	8.254	6.947
24.875	24.870	0.166	-0.443	64.394	8.543	6.864	7.667	2.176	-29.539	8.705	6.969
25.000	24.995	0.167	-0.445	62.786	8.549	6.503	7.133	2.136	-29.354	8.981	6.820
25.125	25.120	0.167	-0.448	61.769	8.594	6.220	6.997	2.114	-29.105	8.957	6.542
25.250	25.245	0.168	-0.450	63.217	8.666	6.104	6.854	2.110	-28.816	8.632	6.294
25.375	25.370	0.169	-0.452	64.300	8.735	6.129	6.768	2.109	-28.536	8.213	6.153
25.500	25.495	0.170	-0.454	63.270	8.773	6.264	6.806	2.103	-28.234	7.847	6.057
25.625	25.620	0.171	-0.457	61.776	8.756	6.466	6.786	2.092	-27.877	7.605	5.948
25.750	25.745	0.172	-0.459	62.921	8.643	6.649	6.754	2.087	-27.391	7.494	5.844
25.875	25.869	0.172	-0.461	66.534	8.295	6.703	6.754	2.092	-26.750	7.465	5.749
26.000	25.994	0.173	-0.463	72.109	7.975	6.536	6.660	2.109	-25.958	7.511	5.623
26.125	26.119	0.174	-0.465	79.268	7.852	6.122	6.243	2.143	-25.043	7.606	5.437
26.250	26.244	0.175	-0.468	88.453	7.299	5.516	5.352	2.198	-24.080	7.695	5.195
26.375	26.369	0.176	-0.470	98.090	6.342	4.918	4.440	2.252	-23.068	7.715	4.854
26.500	26.494	0.177	-0.472	104.660	4.886	4.470	4.003	2.281	-22.033	7.620	4.410
26.625	26.619	0.177	-0.474	107.447	4.354	4.245	3.978	2.280	-21.038	7.407	4.006
26.750	26.744	0.178	-0.477	105.558	4.457	4.250	4.182	2.263	-20.177	7.130	3.767
26.875	26.869	0.179	-0.479	101.053	4.641	4.348	4.412	2.254	-19.469	6.892	3.635
27.000	26.994	0.180	-0.481	95.773	4.628	4.435	4.556	2.258	-18.925	6.747	3.584
27.125	27.119	0.181	-0.483	92.808	4.401	4.443	4.548	2.274	-18.565	6.674	3.589
27.250	27.244	0.182	-0.486	94.663	4.134	4.352	4.447	2.288	-18.324	6.563	3.613
27.375	27.369	0.182	-0.488	98.511	3.976	4.213	4.326	2.290	-18.119	6.348	3.649
27.500	27.494	0.183	-0.490	101.435	3.997	4.083	4.271	2.275	-17.992	6.054	3.671
27.625	27.619	0.184	-0.492	101.348	4.281	4.031	4.226	2.246	-17.972	5.764	3.645
27.750	27.744	0.185	-0.494	97.889	4.978	4.154	4.316	2.224	-18.022	5.568	3.598
27.875	27.869	0.186	-0.497	93.358	5.989	4.454	4.427	2.228	-18.118	5.442	3.619
28.000	27.994	0.187	-0.499	88.130	7.079	4.891	5.010	2.261	-18.255	5.337	3.780
28.125	28.119	0.187	-0.501	82.819	7.887	5.360	6.447	2.316	-18.398	5.232	4.095
28.250	28.244	0.188	-0.503	80.490	8.058	5.665	7.728	2.363	-18.582	5.181	4.559
28.375	28.369	0.189	-0.506	80.915	7.860	5.727	7.199	2.375	-18.858	5.225	5.046
28.500	28.494	0.190	-0.508	82.009	7.583	5.622	5.975	2.350	-19.138	5.315	5.452
28.625	28.619	0.191	-0.510	82.849	7.326	5.545	5.407	2.312	-19.379	5.331	5.711
28.750	28.744	0.192	-0.512	82.279	7.100	5.784	5.557	2.296	-19.652	5.139	5.836
28.875	28.869	0.192	-0.514	78.000	7.404	6.485	6.462	2.315	-20.013	4.813	5.988
29.000	28.994	0.193	-0.517	70.037	8.143	7.707	9.042	2.370	-20.462	4.527	6.306
29.125	29.119	0.194	-0.519	62.751	9.452	9.302	14.165	2.443	-20.995	4.492	6.949
29.250	29.244	0.195	-0.521	60.009	10.740	10.713	17.950	2.483	-21.602	4.879	7.980
29.375	29.369	0.196	-0.523	59.763	11.109	11.288	17.129	2.454	-22.307	5.498	9.020
29.500	29.494	0.197	-0.526	59.506	9.992	10.836	13.456	2.367	-23.108	6.116	9.649
29.625	29.619	0.197	-0.528	58.453	8.716	9.710	9.777	2.260	-23.899	6.538	9.609
29.750	29.744	0.198	-0.530	57.554	8.048	8.504	8.371	2.166	-24.636	6.607	9.005
29.875	29.869	0.199	-0.532	57.141	7.870	7.590	8.094	2.103	-25.357	6.416	8.356
30.000	29.994	0.200	-0.535	57.451	7.648	7.031	8.069	2.078	-26.006	6.090	7.884
30.125	30.118	0.204	-0.546	58.324	7.328	6.778	7.977	2.083	-26.510	5.759	7.570
30.250	30.242	0.208	-0.557	59.612	7.266	6.771	7.932	2.101	-26.801	5.535	7.334
30.375	30.367	0.213	-0.568	60.365	7.209	6.865	7.951	2.114	-26.903	5.447	7.143
