#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
60.000	2.617	25.244	-0.056	0.531	-0.056	72.047	0.396	0.201	0.892
60.125	2.522	20.186	-0.042	2.003	-0.042	78.466	0.633	0.321	1.804
60.250	2.417	14.630	0.064	3.901	0.064	82.335	0.998	0.609	3.878
60.375	2.329	8.818	0.183	5.507	0.183	83.499	1.532	1.031	6.106
60.500	2.271	3.034	0.259	6.501	0.259	82.849	2.279	1.530	8.487
60.625	2.244	-2.266	0.292	7.024	0.292	81.182	3.346	2.357	10.427
60.750	2.230	-6.688	0.362	7.330	0.362	79.892	4.628	3.680	11.378
60.875	2.221	-10.007	0.511	7.415	0.511	81.039	5.774	5.046	12.292
61.000	2.216	-12.388	0.699	7.300	0.699	82.270	6.513	5.951	12.913
61.125	2.213	-14.156	0.811	7.111	0.811	79.658	6.807	6.315	12.526
61.250	2.212	-15.635	0.786	6.986	0.786	74.607	6.893	6.438	12.024
61.375	2.212	-16.912	0.648	6.935	0.648	72.182	6.872	6.401	11.914
61.500	2.211	-18.033	0.475	6.914	0.475	74.818	6.796	6.304	11.877
61.625	2.211	-18.975	0.341	6.961	0.341	79.483	6.753	6.252	12.268
61.750	2.210	-19.781	0.239	7.126	0.239	82.098	6.770	6.286	12.471
61.875	2.209	-20.476	0.166	7.341	0.166	81.242	6.896	6.403	12.804
62.000	2.208	-21.083	0.169	7.461	0.169	77.703	7.160	6.572	13.081
62.125	2.206	-21.564	0.429	7.366	0.429	73.489	7.428	6.740	12.892
62.250	2.204	-21.855	1.027	7.158	1.027	70.448	7.560	6.863	12.532
62.375	2.200	-21.935	1.952	6.960	1.952	70.176	7.596	6.923	12.496
62.500	2.197	-21.863	3.063	6.829	3.063	72.467	7.588	6.934	12.644
62.625	2.202	-21.685	4.088	6.774	4.088	74.689	7.555	6.925	12.547
62.750	2.218	-21.420	4.816	6.761	4.816	74.530	7.513	6.921	12.393
62.875	2.244	-21.106	5.186	6.711	5.186	73.600	7.477	6.920	12.301
63.000	2.268	-20.745	5.260	6.545	5.260	75.330	7.419	6.899	12.454
63.125	2.277	-20.376	5.155	6.310	5.155	80.012	7.305	6.830	12.335
63.250	2.269	-20.064	5.042	6.124	5.042	82.508	7.170	6.717	12.176
63.375	2.252	-19.849	5.033	6.025	5.033	82.868	7.040	6.584	11.795
63.500	2.238	-19.707	5.183	5.967	5.183	84.840	6.917	6.466	11.421
63.625	2.234	-19.719	5.439	5.948	5.439	88.532	6.858	6.405	11.066
63.750	2.239	-19.923	5.632	5.973	5.632	89.773	6.850	6.397	10.527
63.875	2.247	-20.269	5.679	6.003	5.679	87.929	6.882	6.430	9.920
64.000	2.251	-20.743	5.623	6.019	5.623	84.706	6.937	6.479	9.519
64.125	2.244	-21.257	5.591	6.018	5.591	81.580	7.003	6.531	9.668
64.250	2.227	-21.771	5.663	6.035	5.663	78.937	7.073	6.585	10.112
64.375	2.202	-22.239	5.764	6.058	5.764	77.004	7.147	6.643	10.606
64.500	2.177	-22.658	5.775	6.082	5.775	75.869	7.221	6.701	10.865
64.625	2.161	-22.945	5.658	6.119	5.658	77.002	7.290	6.739	11.010
64.750	2.157	-23.097	5.517	6.162	5.517	78.916	7.373	6.754	10.979
64.875	2.161	-23.131	5.430	6.245	5.430	77.816	7.443	6.751	10.958
65.000	2.168	-23.023	5.387	6.348	5.387	73.385	7.477	6.747	11.016
65.125	2.172	-22.799	5.303	6.445	5.303	68.578	7.492	6.758	11.125
65.250	2.176	-22.437	5.126	6.560	5.126	65.228	7.535	6.785	11.252
65.375	2.184	-21.947	4.899	6.746	4.899	63.743	7.583	6.819	11.205
65.500	2.196	-21.319	4.718	6.977	4.718	64.522	7.637	6.850	11.417
65.625	2.201	-20.498	4.717	7.158	4.717	65.182	7.737	6.900	12.244
65.750	2.196	-19.469	4.921	7.312	4.921	64.201	7.907	7.024	13.408
65.875	2.188	-18.226	5.373	7.484	5.373	63.589	8.135	7.271	13.604
66.000	2.199	-16.802	6.188	7.726	6.188	65.516	8.434	7.636	12.935
66.125	2.259	-15.222	7.668	8.021	7.668	69.782	8.722	8.019	12.332
66.250	2.349	-13.682	9.770	8.188	9.770	74.488	8.830	8.262	12.951
66.375	2.428	-12.257	12.061	8.086	12.061	79.360	8.651	8.271	16.395
66.500	2.453	-10.996	13.717	7.791	13.717	83.845	8.212	8.052	19.390
66.625	2.409	-9.993	13.719	7.596	13.719	86.025	7.692	7.715	16.163
66.750	2.347	-9.204	12.248	7.550	12.248	86.034	7.315	7.416	9.066
66.875	2.316	-8.621	10.013	7.409	10.013	85.879	7.165	7.221	6.647
67.000	2.335	-8.236	7.899	7.026	7.899	88.496	7.213	7.124	7.791
67.125	2.380	-8.092	6.627	6.569	6.627	94.829	7.340	7.062	11.071
67.250	2.409	-8.062	5.980	6.281	5.980	99.532	7.396	6.945	12.674
67.375	2.403	-8.058	5.571	6.153	5.571	99.879	7.315	6.729	9.253
67.500	2.374	-8.082	5.181	6.032	5.181	98.103	7.091	6.406	6.602
67.625	2.349	-8.111	4.837	5.798	4.837	100.295	6.740	5.996	5.921
67.750	2.342	-8.231	4.653	5.499	4.653	106.024	6.345	5.571	5.934
67.875	2.348	-8.526	4.640	5.224	4.640	110.010	6.000	5.204	5.733
68.000	2.354	-8.991	4.714	5.055	4.714	109.130	5.829	4.984	5.307
68.125	2.350	-9.642	4.786	5.088	4.786	104.923	6.013	5.055	4.963
68.250	2.335	-10.430	4.902	5.455	4.902	98.953	6.573	5.443	4.862
68.375	2.313	-11.347	5.239	6.218	5.239	91.835	7.486	6.149	5.107
68.500	2.286	-12.310	5.914	7.174	5.914	85.522	8.626	7.091	6.004
68.625	2.253	-13.285	6.860	7.941	6.860	81.804	9.704	8.069	7.586
68.750	2.215	-14.189	7.762	8.399	7.762	79.587	10.407	8.818	8.772
68.875	2.176	-14.970	8.373	8.609	8.373	76.862	10.572	9.183	9.509
69.000	2.143	-15.574	8.584	8.609	8.584	75.483	10.246	9.150	10.163
69.125	2.124	-15.891	8.411	8.430	8.411	76.351	9.657	8.825	10.710
69.250	2.118	-15.949	8.071	8.234	8.071	76.020	9.137	8.443	11.050
69.375	2.121	-15.741	7.667	8.131	7.667	73.366	8.856	8.132	11.024
69.500	2.132	-15.317	7.281	8.133	7.281	71.958	8.870	7.953	10.639
69.625	2.156	-14.685	7.058	8.107	7.058	76.567	9.156	7.920	10.119
69.750	2.190	-13.924	7.087	7.954	7.087	82.060	9.503	7.944	9.769
69.875	2.227	-13.054	7.382	7.704	7.382	84.988	9.723	7.930	9.251
70.000	2.256	-12.154	7.843	7.451	7.843	87.181	9.672	7.795	8.579
70.125	2.266	-11.287	8.221	7.222	8.221	90.751	9.286	7.485	8.281
70.250	2.265	-10.527	8.298	6.929	8.298	94.288	8.730	7.067	7.706
70.375	2.267	-9.945	8.031	6.586	8.031	97.760	8.140	6.616	6.888
70.500	2.279	-9.546	7.574	6.267	7.574	101.412	7.626	6.201	6.354
70.625	2.302	-9.447	7.238	6.067	7.238	103.520	7.272	5.903	6.147
70.750	2.327	-9.622	7.173	5.991	7.173	103.975	7.087	5.752	6.163
70.875	2.348	-10.040	7.318	6.026	7.318	103.300	7.090	5.780	6.387
71.000	2.358	-10.693	7.509	6.197	7.509	100.757	7.296	6.000	6.644
71.125	2.345	-11.576	7.566	6.572	7.566	95.199	7.724	6.421	7.117
71.250	2.309	-12.566	7.525	7.096	7.525	88.586	8.290	6.959	7.665
71.375	2.252	-13.588	7.523	7.678	7.523	82.030	8.917	7.544	8.338
71.500	2.190	-14.647	7.692	8.207	7.692	75.516	9.512	8.101	9.227
71.625	2.146	-15.635	8.111	8.590	8.111	71.042	9.972	8.535	10.058
71.750	2.126	-16.492	8.663	8.826	8.663	71.386	10.279	8.819	10.767
71.875	2.127	-17.253	9.260	8.945	9.260	76.197	10.448	8.947	12.020
72.000	2.140	-17.911	9.800	8.978	9.800	80.085	10.509	8.940	13.197
72.125	2.156	-18.417	10.169	8.942	10.169	77.123	10.481	8.820	13.086
72.250	2.169	-18.841	10.381	8.875	10.381	72.703	10.396	8.645	12.015
72.375	2.176	-19.224	10.405	8.763	10.405	70.805	10.267	8.446	11.278
72.500	2.175	-19.539	10.237	8.598	10.237	69.752	10.116	8.254	11.154
72.625	2.170	-19.791	9.903	8.423	9.903	67.260	9.972	8.111	11.117
72.750	2.168	-20.021	9.512	8.320	9.512	66.018	9.848	8.030	11.097
72.875	2.174	-20.246	9.148	8.308	9.148	66.988	9.739	8.002	11.221
73.000	2.187	-20.441	8.836	8.315	8.836	68.541	9.632	8.001	11.371
73.125	2.199	-20.623	8.627	8.278	8.627	69.159	9.520	7.999	11.560
73.250	2.203	-20.740	8.524	8.228	8.524	68.642	9.413	7.991	11.677
73.375	2.198	-20.788	8.510	8.223	8.510	68.163	9.325	7.990	11.576
73.500	2.190	-20.819	8.551	8.287	8.551	69.278	9.265	8.008	11.427
73.625	2.192	-20.855	8.582	8.362	8.582	69.578	9.241	8.038	11.381
73.750	2.206	-20.882	8.571	8.397	8.571	67.711	9.239	8.051	11.328
73.875	2.224	-20.896	8.528	8.365	8.528	67.433	9.243	8.021	11.478
74.000	2.236	-20.885	8.474	8.262	8.474	70.821	9.234	7.933	11.493
74.125	2.232	-20.842	8.404	8.144	8.404	73.475	9.199	7.788	11.470
74.250	2.218	-20.829	8.320	8.089	8.320	72.884	9.145	7.620	11.605
74.375	2.203	-20.830	8.257	8.108	8.257	71.645	9.090	7.460	11.918
74.500	2.191	-20.792	8.257	8.151	8.257	71.252	9.073	7.351	12.146
74.625	2.183	-20.711	8.311	8.212	8.311	70.853	9.186	7.371	12.087
74.750	2.180	-20.651	8.348	8.408	8.348	70.218	9.505	7.571	11.749
74.875	2.191	-20.582	8.377	8.849	8.377	68.575	10.114	8.016	11.501
75.000	2.226	-20.541	8.515	9.570	8.515	65.407	11.058	8.748	11.910
75.125	2.284	-20.566	8.958	10.509	8.958	61.792	12.285	9.774	13.643
75.250	2.341	-20.580	9.683	11.414	9.683	60.332	13.455	10.869	16.280
75.375	2.373	-20.639	10.547	12.050	10.547	61.050	14.184	11.746	19.628
75.500	2.368	-20.771	11.364	12.226	11.364	62.817	14.160	12.118	21.977
75.625	2.330	-20.934	11.947	11.769	11.947	65.676	13.264	11.754	19.455
75.750	2.285	-21.131	12.224	10.946	12.224	67.201	11.989	10.918	15.337
75.875	2.251	-21.359	12.143	10.074	12.143	67.188	10.749	9.895	12.974
76.000	2.232	-21.582	11.685	9.394	11.685	66.774	9.838	8.950	12.288
76.125	2.226	-21.779	10.867	9.050	10.867	65.735	9.450	8.313	12.430
76.250	2.223	-21.969	9.918	8.973	9.918	63.365	9.463	7.996	12.445
76.375	2.218	-22.100	9.032	9.108	9.032	60.017	9.730	7.950	12.504
76.500	2.213	-22.124	8.349	9.382	8.349	58.251	10.049	8.056	12.798
76.625	2.208	-22.035	7.928	9.715	7.928	58.848	10.198	8.169	13.169
76.750	2.201	-21.837	7.689	10.024	7.689	59.183	10.192	8.244	13.173
76.875	2.191	-21.542	7.588	10.303	7.588	59.348	10.249	8.400	12.881
77.000	2.188	-21.152	7.618	10.690	7.618	59.466	10.721	8.878	12.723
77.125	2.214	-20.655	7.955	11.711	7.955	60.114	12.154	10.116	14.374
77.250	2.276	-20.123	8.829	13.727	8.829	60.361	14.621	12.227	21.319
77.375	2.363	-19.601	10.456	16.514	10.456	60.278	17.799	15.037	39.282
77.500	2.446	-19.149	12.818	19.012	12.818	60.694	20.620	17.792	57.842
77.625	2.491	-18.835	15.506	19.456	15.506	61.223	21.113	18.944	54.299
77.750	2.492	-18.599	17.705	17.797	17.705	63.411	19.119	18.014	33.587
