#Depth	SP	GR	RI	RT	RXO	DEN
63.000	9.334	34.607	0.125	0.158	1.123	2.378
63.125	9.985	33.289	0.144	0.166	1.575	2.386
63.250	9.933	32.754	0.172	0.197	1.584	2.389
63.375	9.259	32.514	0.203	0.244	1.433	2.388
63.500	7.977	33.145	0.222	0.282	1.336	2.390
63.625	6.403	33.802	0.211	0.291	1.281	2.396
63.750	5.225	34.444	0.169	0.254	1.311	2.397
63.875	5.042	35.425	0.113	0.176	1.397	2.387
64.000	5.866	35.946	0.061	0.099	1.333	2.363
64.125	6.675	36.141	0.034	0.046	0.883	2.323
64.250	6.359	36.154	0.040	0.031	0.311	2.254
64.375	4.291	37.656	0.108	0.065	0.346	2.144
64.500	-0.003	40.657	0.287	0.171	1.777	1.990
64.625	-6.067	43.501	0.745	0.567	4.018	1.834
64.750	-12.618	45.645	1.838	1.744	5.428	1.737
64.875	-18.095	46.978	3.098	2.917	5.688	1.733
65.000	-22.039	51.046	4.120	3.686	5.358	1.823
65.125	-25.107	57.207	4.691	3.913	4.967	1.957
65.250	-27.653	66.910	4.682	3.756	4.947	2.083
65.375	-29.772	77.249	4.678	3.582	5.318	2.166
65.500	-31.451	84.895	4.818	3.593	5.927	2.200
65.625	-32.733	88.566	5.080	3.807	6.253	2.212
65.750	-33.679	88.622	5.415	4.202	6.135	2.226
65.875	-34.438	87.883	5.753	4.567	6.197	2.253
66.000	-35.192	86.570	5.989	4.836	6.550	2.283
66.125	-35.979	86.016	6.078	4.985	6.602	2.296
66.250	-36.771	86.190	6.051	5.052	6.238	2.275
66.375	-37.607	85.520	5.962	5.067	5.951	2.228
66.500	-38.456	83.064	5.916	5.142	5.890	2.178
66.625	-39.249	80.135	6.009	5.368	6.155	2.139
66.750	-39.943	76.992	6.252	5.705	6.600	2.117
66.875	-40.464	73.228	6.579	6.121	6.819	2.107
67.000	-40.802	69.058	6.940	6.613	6.864	2.109
67.125	-41.092	66.041	7.354	7.158	6.924	2.123
67.250	-41.378	65.091	7.831	7.735	7.020	2.149
67.375	-41.686	65.445	8.238	8.231	6.961	2.176
67.500	-42.007	65.279	8.424	8.454	6.789	2.181
67.625	-42.258	64.761	8.303	8.381	6.810	2.159
67.750	-42.442	62.581	7.872	8.009	6.903	2.120
67.875	-42.605	60.800	7.303	7.463	6.643	2.089
68.000	-42.670	59.415	6.787	6.987	6.107	2.074
68.125	-42.677	59.048	6.429	6.711	5.789	2.071
68.250	-42.673	59.581	6.301	6.690	5.813	2.069
68.375	-42.623	60.205	6.294	6.809	5.928	2.067
68.500	-42.518	59.510	6.319	6.938	5.941	2.068
68.625	-42.802	58.321	6.329	7.025	5.863	2.072
68.750	-42.833	57.777	6.308	7.070	5.788	2.079
68.875	-42.833	57.866	6.287	7.127	5.765	2.086
69.000	-43.035	56.912	6.273	7.183	5.826	2.092
69.125	-43.236	55.782	6.288	7.284	5.997	2.096
69.250	-43.236	55.756	6.324	7.395	6.249	2.098
69.375	-43.236	55.795	6.349	7.497	6.360	2.096
69.500	-43.236	55.000	6.347	7.575	6.226	2.092
69.625	-43.236	53.486	6.315	7.614	6.085	2.086
69.750	-43.236	53.956	6.261	7.648	6.084	2.080
69.875	-43.236	54.508	6.214	7.708	6.115	2.076
70.000	-43.236	54.642	6.205	7.819	6.101	2.076
70.125	-43.226	55.050	6.223	7.967	6.070	2.084
70.250	-43.097	56.688	6.247	8.128	6.095	2.100
70.375	-42.885	58.064	6.264	8.272	6.157	2.115
70.500	-42.825	57.869	6.239	8.380	6.130	2.121
70.625	-42.631	56.760	6.172	8.429	6.045	2.121
70.750	-42.437	55.628	6.086	8.411	6.029	2.119
70.875	-42.429	54.584	5.997	8.356	6.061	2.115
71.000	-42.422	54.600	5.935	8.287	6.109	2.110
71.125	-42.228	54.359	5.905	8.252	6.190	2.105
71.250	-41.940	54.746	5.912	8.264	6.216	2.104
71.375	-41.126	53.781	5.941	8.317	6.170	2.106
71.500	-40.272	53.927	5.976	8.420	6.169	2.108
71.625	-39.434	54.305	6.003	8.528	6.190	2.106
71.750	-38.658	56.776	5.974	8.526	6.169	2.109
71.875	-38.114	59.437	5.848	8.330	6.224	2.128
72.000	-37.789	62.604	5.666	7.999	6.311	2.167
72.125	-37.587	68.696	5.471	7.650	5.992	2.207
72.250	-37.447	74.656	5.352	7.466	5.650	2.221
72.375	-37.059	78.590	5.371	7.513	6.142	2.202
72.500	-36.531	77.805	5.486	7.726	6.777	2.166
72.625	-36.376	74.390	5.595	7.929	6.849	2.138
72.750	-36.236	71.220	5.599	7.942	6.770	2.131
72.875	-35.910	69.506	5.449	7.708	6.547	2.143
73.000	-35.585	72.437	5.178	7.282	6.210	2.160
73.125	-35.310	78.290	4.948	6.931	6.066	2.169
73.250	-35.171	84.481	4.858	6.847	5.990	2.166
73.375	-35.165	86.885	4.945	7.044	6.141	2.153
73.500	-35.165	86.359	5.243	7.542	6.685	2.136
73.625	-35.165	82.785	5.663	8.197	7.064	2.122
73.750	-35.160	78.826	6.171	8.953	7.019	2.128
73.875	-35.062	73.437	6.588	9.571	7.000	2.160
74.000	-34.855	70.287	6.753	9.826	9.637	2.205
74.125	-34.762	68.929	6.652	9.658	13.928	2.229
74.250	-34.762	71.675	6.273	9.020	13.073	2.216
74.375	-34.752	75.139	5.789	8.229	8.531	2.183
74.500	-34.560	79.423	5.371	7.597	6.276	2.157
74.625	-34.369	83.065	5.090	7.247	5.876	2.146
74.750	-34.358	86.122	4.964	7.176	5.877	2.143
74.875	-34.358	87.416	4.932	7.207	6.050	2.142
75.000	-34.358	87.791	4.878	7.137	6.115	2.147
75.125	-34.358	88.920	4.761	6.909	5.897	2.161
75.250	-34.351	91.940	4.607	6.623	5.518	2.181
75.375	-34.157	95.939	4.499	6.453	5.216	2.197
75.500	-33.963	98.663	4.522	6.517	5.038	2.201
75.625	-33.955	97.670	4.668	6.775	5.528	2.194
75.750	-33.955	94.570	4.877	7.123	6.655	2.191
75.875	-33.947	91.669	5.059	7.388	7.034	2.192
76.000	-33.800	90.351	5.142	7.498	6.293	2.191
76.125	-33.512	89.608	5.122	7.476	5.683	2.184
76.250	-33.194	90.377	4.976	7.305	5.771	2.186
76.375	-33.148	91.608	4.739	7.036	6.293	2.203
76.500	-33.148	92.755	4.496	6.751	6.436	2.223
76.625	-33.148	93.335	4.273	6.473	5.664	2.227
76.750	-33.148	94.258	4.134	6.290	4.883	2.210
76.875	-33.148	95.632	4.121	6.289	4.654	2.185
77.000	-33.148	95.120	4.226	6.463	4.943	2.163
77.125	-33.148	93.327	4.403	6.719	5.656	2.150
77.250	-33.148	90.097	4.586	6.939	6.068	2.147
77.375	-33.148	89.616	4.733	7.066	5.798	2.150
77.500	-33.148	90.800	4.850	7.174	5.434	2.151
77.625	-33.148	92.005	4.980	7.348	5.394	2.146
77.750	-33.148	89.369	5.098	7.558	5.637	2.139
77.875	-33.148	85.732	5.152	7.725	6.062	2.140
78.000	-33.287	82.611	5.108	7.711	6.123	2.152
78.125	-33.551	81.202	4.919	7.421	5.613	2.169
