#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
60.000	2.506	22.794	0.116	0.221	68.652	20.120	2.722	2.965	0.116
60.125	2.469	16.728	0.092	1.505	75.373	39.920	7.066	6.095	0.092
60.250	2.368	10.684	0.078	3.731	79.315	77.662	18.646	9.018	0.078
60.375	2.251	4.936	0.086	6.020	82.062	83.770	34.284	10.236	0.086
60.500	2.166	-0.359	0.117	7.497	84.566	42.638	30.846	10.445	0.117
60.625	2.136	-4.934	0.168	8.051	85.124	21.117	18.665	10.625	0.168
60.750	2.134	-8.707	0.216	8.354	84.406	12.711	11.963	10.750	0.216
60.875	2.141	-11.559	0.252	8.561	84.459	9.383	8.770	10.719	0.252
61.000	2.142	-13.533	0.273	8.682	84.818	8.220	7.420	10.600	0.273
61.125	2.136	-14.794	0.280	8.775	82.835	8.175	7.174	10.558	0.280
61.250	2.126	-15.692	0.279	8.926	80.186	8.503	7.303	10.943	0.279
61.375	2.119	-16.361	0.278	9.112	79.807	8.897	7.520	11.631	0.278
61.500	2.116	-16.837	0.277	9.260	80.612	9.191	7.722	12.014	0.277
61.625	2.117	-17.137	0.279	9.322	78.635	9.289	7.836	11.991	0.279
61.750	2.120	-17.278	0.283	9.327	75.728	9.209	7.836	11.896	0.283
61.875	2.121	-17.254	0.302	9.285	74.534	8.967	7.722	11.782	0.302
62.000	2.121	-17.114	0.381	9.148	76.591	8.608	7.511	11.620	0.381
62.125	2.121	-16.866	0.624	8.800	81.259	8.178	7.225	11.153	0.624
62.250	2.123	-16.575	1.063	8.286	86.331	7.763	6.928	10.373	1.063
62.375	2.127	-16.271	1.680	7.761	89.115	7.469	6.696	9.518	1.680
62.500	2.131	-15.988	2.394	7.429	89.070	7.410	6.614	9.175	2.394
62.625	2.133	-15.741	3.102	7.434	87.141	7.708	6.777	8.999	3.102
62.750	2.129	-15.546	3.783	7.630	85.732	8.279	7.136	9.801	3.783
62.875	2.121	-15.384	4.477	7.871	86.346	8.984	7.609	10.671	4.477
63.000	2.118	-15.215	5.203	8.122	88.524	9.590	8.050	11.187	5.203
63.125	2.125	-15.013	5.853	8.383	89.071	9.727	8.226	10.771	5.853
63.250	2.134	-14.762	6.265	8.448	89.867	9.321	8.051	9.860	6.265
63.375	2.141	-14.451	6.337	8.133	95.016	8.497	7.557	8.523	6.337
63.500	2.151	-14.131	6.081	7.520	102.939	7.553	6.910	6.921	6.081
63.625	2.167	-13.859	5.602	6.970	107.909	6.866	6.373	6.701	5.602
63.750	2.181	-13.644	5.095	6.678	109.857	6.581	6.111	6.333	5.095
63.875	2.185	-13.526	4.647	6.622	110.109	6.732	6.187	6.159	4.647
64.000	2.177	-13.480	4.291	6.770	107.262	7.291	6.601	6.503	4.291
64.125	2.163	-13.513	4.066	7.177	102.021	8.215	7.351	7.466	4.066
64.250	2.151	-13.512	3.984	7.800	96.606	9.242	8.263	9.132	3.984
64.375	2.147	-13.424	4.070	8.458	91.294	10.062	9.122	10.573	4.070
64.500	2.156	-13.190	4.325	8.841	87.550	10.317	9.634	11.609	4.325
64.625	2.180	-12.769	4.691	8.612	89.774	9.689	9.437	10.630	4.691
64.750	2.206	-12.242	5.007	7.947	97.355	8.573	8.703	8.011	5.007
64.875	2.221	-11.660	5.163	7.185	103.482	7.477	7.784	6.164	5.163
65.000	2.224	-11.074	5.126	6.661	103.302	6.788	7.046	6.126	5.126
65.125	2.218	-10.514	4.968	6.512	100.895	6.685	6.719	6.935	4.968
65.250	2.208	-10.014	4.834	6.447	101.861	6.891	6.655	7.308	4.834
65.375	2.202	-9.619	4.781	6.263	106.084	7.097	6.639	6.534	4.781
