#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000
22.125	0.000	0.000	3.154	0.000	0.000	0.000	0.000	0.000	0.000
22.250	0.000	0.000	4.223	0.000	0.000	0.000	0.000	0.000	0.000
22.375	0.000	0.000	5.596	0.000	0.000	0.000	0.000	0.000	0.000
22.500	0.000	0.000	7.305	0.000	0.000	0.000	0.000	0.000	0.000
22.625	0.000	0.000	7.050	0.000	0.000	0.000	0.000	0.000	0.000
22.750	0.000	0.000	6.385	0.000	0.000	0.000	0.000	0.000	0.000
22.875	0.000	0.000	5.765	0.000	0.000	0.000	0.000	0.000	0.000
23.000	0.000	0.000	5.214	0.000	0.000	0.000	0.000	0.000	0.000
23.125	0.000	0.000	5.237	0.000	0.000	0.000	0.000	0.000	0.000
23.250	0.000	0.000	5.481	0.000	0.000	0.000	0.000	0.000	0.000
23.375	0.000	0.000	5.736	0.000	0.000	0.000	0.000	0.000	0.000
23.500	0.000	0.000	6.022	0.000	0.000	0.000	0.000	0.000	0.000
23.625	0.000	0.000	6.264	0.000	0.000	0.000	0.000	0.000	0.000
23.750	0.000	0.000	4.840	0.000	0.000	0.000	0.000	0.000	0.000
23.875	0.000	0.000	3.622	0.000	0.000	0.000	0.000	0.000	0.000
24.000	0.000	0.000	2.169	0.000	0.000	0.000	0.000	0.000	0.000
24.125	0.000	0.000	0.850	0.000	0.000	0.000	0.000	0.000	0.000
24.250	0.000	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000
24.375	0.000	0.000	-0.076	0.000	0.000	0.000	0.000	0.000	0.000
24.500	0.000	0.000	0.622	0.000	0.000	0.000	0.000	0.000	0.000
24.625	0.000	0.000	1.632	0.000	0.000	0.000	0.000	0.000	0.000
24.750	0.000	0.000	3.599	0.000	0.000	0.000	0.000	0.000	0.000
24.875	0.000	0.000	5.694	0.000	0.000	0.000	0.000	0.000	0.000
