#Depth	GR	RT	RI	RXO	AC	SP	R2M	R025	DEN
90.000	-9999.000	-9999.000	-9999.000	-9999.000	229.905	46.562	0.423	0.000	2.396
90.125	-9999.000	-9999.000	-9999.000	-9999.000	238.163	46.369	0.342	0.000	2.396
90.250	-9999.000	-9999.000	-9999.000	-9999.000	243.688	46.169	0.171	0.000	2.395
90.375	-9999.000	-9999.000	-9999.000	-9999.000	243.848	45.858	0.079	0.000	2.397
90.500	-9999.000	-9999.000	-9999.000	-9999.000	241.706	46.136	0.071	0.000	2.401
90.625	-9999.000	-9999.000	-9999.000	-9999.000	240.945	47.120	0.070	0.000	2.406
90.750	-9999.000	-9999.000	-9999.000	-9999.000	240.771	46.942	0.000	0.000	2.413
90.875	51.556	0.200	0.200	0.200	232.287	46.822	0.000	0.000	2.420
91.000	51.556	0.200	0.200	0.200	221.109	46.713	0.000	0.000	2.426
91.125	51.556	0.200	0.200	0.200	210.358	46.616	0.000	0.000	2.432
91.250	51.556	0.200	0.200	0.200	204.524	46.485	0.000	0.000	2.438
91.375	51.556	0.200	0.200	0.200	205.266	46.291	0.008	0.000	2.440
91.500	51.556	0.200	0.200	0.200	207.142	46.089	0.049	0.000	2.437
91.625	48.924	0.200	0.200	0.200	206.690	45.704	0.053	0.000	2.437
91.750	49.788	0.200	0.200	0.200	205.958	45.271	0.149	0.000	2.435
91.875	49.738	0.200	0.200	0.200	205.367	44.783	0.194	0.000	2.434
92.000	49.152	0.200	0.200	0.200	206.870	44.285	0.232	0.000	2.432
92.125	48.685	0.200	0.200	0.200	211.906	43.836	0.317	0.000	2.429
92.250	44.762	0.200	0.200	0.200	219.311	43.472	0.328	0.000	2.426
92.375	45.010	0.200	0.200	0.200	228.310	43.121	0.382	0.000	2.421
92.500	43.669	0.200	0.200	0.200	225.509	42.781	0.292	0.000	2.418
92.625	43.391	0.200	0.200	0.200	217.464	42.460	0.202	0.000	2.422
92.750	43.411	0.200	0.200	0.200	207.533	42.178	0.110	0.000	2.433
92.875	42.666	0.200	0.200	0.200	199.101	41.929	0.010	0.000	2.443
93.000	42.914	0.200	0.200	0.200	198.875	41.634	0.032	0.000	2.445
93.125	42.169	0.200	0.200	0.200	203.885	41.472	0.005	0.000	2.432
93.250	42.219	0.200	0.200	0.200	206.391	41.231	0.035	0.000	2.420
93.375	43.093	0.200	0.200	0.200	209.843	40.911	0.046	0.000	2.418
93.500	44.066	0.200	0.200	0.200	212.772	40.455	0.026	0.000	2.428
93.625	44.613	0.200	0.200	0.200	212.920	39.820	0.000	0.000	2.442
93.750	45.358	0.200	0.200	0.200	211.381	39.044	0.000	0.000	2.454
93.875	44.811	0.200	0.200	0.200	212.349	38.183	0.000	0.004	2.450
94.000	42.914	0.200	0.200	0.200	212.726	37.417	0.000	0.016	2.448
94.125	41.305	0.221	0.200	0.219	218.730	36.803	0.000	0.014	2.463
94.250	39.596	0.251	0.200	0.252	225.597	36.401	0.051	0.018	2.502
94.375	36.864	0.336	0.200	0.299	227.024	36.216	0.129	0.063	2.562
94.500	33.139	0.680	0.200	0.398	224.573	36.140	0.001	0.179	2.636
94.625	33.338	0.280	0.200	0.476	213.921	36.283	0.012	0.030	2.683
94.750	35.325	0.200	0.200	0.387	200.856	36.436	0.066	0.000	2.682
94.875	37.937	0.200	0.200	0.272	190.636	36.561	0.147	0.000	2.642
95.000	39.079	0.200	0.200	0.210	184.770	36.646	0.216	0.000	2.581
95.125	38.096	0.200	0.200	0.210	183.337	36.720	0.237	0.000	2.525
95.250	38.146	0.200	0.200	0.208	187.323	36.855	0.215	0.000	2.501
95.375	42.119	0.200	0.200	0.201	190.738	36.788	0.210	0.000	2.506
95.500	44.305	0.200	0.200	0.200	191.332	36.704	0.070	0.000	2.526
95.625	44.255	0.200	0.200	0.200	194.295	36.500	0.000	0.030	2.566
95.750	43.510	0.282	0.200	0.200	198.783	36.219	0.000	0.054	2.623
95.875	43.659	0.497	0.200	0.200	201.755	35.939	0.000	0.037	2.679
96.000	44.404	0.761	0.200	0.200	201.814	35.676	0.000	0.000	2.694
